PLAYER_ID,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_PTS,PULL_UP_EFG_PCT,SEASON
201166,0.4,1.0,0.387,0.5,0.8,0.435,17-18
203932,1.3,4.4,0.295,1.8,3.0,0.341,17-18
1626151,0.6,2.3,0.238,0.7,1.2,0.262,17-18
1628935,1.0,2.0,0.5,2.0,3.0,0.75,17-18
1627846,0.1,0.3,0.25,0.0,0.1,0.292,17-18
203940,0.2,0.4,0.5,0.0,0.4,0.5,17-18
201143,0.6,1.5,0.37,0.1,1.2,0.394,17-18
2744,0.2,0.4,0.5,0.0,0.4,0.5,17-18
202329,0.2,1.0,0.209,0.4,0.5,0.276,17-18
1626210,0.0,0.2,0.0,,0.0,0.0,17-18
202692,0.9,2.3,0.367,1.1,2.1,0.447,17-18
1628409,0.1,0.3,0.4,0.2,0.3,0.5,17-18
203518,0.1,0.3,0.286,0.1,0.2,0.31,17-18
1627936,0.3,1.0,0.289,0.5,0.8,0.368,17-18
203458,0.0,0.0,0.0,0.0,0.0,0.0,17-18
1627816,0.0,0.0,,0.0,0.0,,17-18
1628035,0.1,0.1,1.0,0.1,0.4,1.25,17-18
203459,0.9,2.7,0.323,1.0,2.0,0.368,17-18
101161,0.0,0.1,0.333,0.0,0.1,0.333,17-18
203083,0.1,0.4,0.242,0.1,0.2,0.242,17-18
2738,0.4,1.1,0.356,0.5,1.0,0.432,17-18
201281,1.5,3.5,0.429,0.5,3.0,0.429,17-18
203460,0.0,0.0,0.0,0.0,0.0,0.0,17-18
101106,0.0,0.0,0.0,,0.0,0.0,17-18
1626150,1.0,2.8,0.354,0.9,2.3,0.411,17-18
1628510,0.3,0.7,0.4,0.2,0.7,0.5,17-18
203952,1.9,5.7,0.323,0.9,4.0,0.345,17-18
1627790,0.0,0.0,0.0,,0.0,0.0,17-18
1626148,0.0,0.0,,0.0,0.0,,17-18
203076,1.8,4.7,0.388,0.2,3.8,0.399,17-18
201229,0.1,0.2,0.375,0.1,0.2,0.438,17-18
1628469,1.2,3.2,0.361,1.0,2.6,0.402,17-18
1628499,0.2,0.5,0.375,0.1,0.4,0.438,17-18
203382,0.0,0.2,0.286,0.0,0.1,0.286,17-18
201167,0.4,1.0,0.404,0.2,0.8,0.423,17-18
203085,1.6,4.3,0.379,3.1,4.4,0.519,17-18
202340,1.3,3.4,0.374,0.7,2.7,0.4,17-18
1628389,0.0,0.2,0.167,0.0,0.1,0.167,17-18
203463,0.6,1.5,0.388,0.6,1.3,0.435,17-18
1628500,0.0,0.0,,,0.0,,17-18
1627732,0.8,2.4,0.33,0.0,1.6,0.33,17-18
202687,0.0,0.1,0.125,,0.0,0.125,17-18
201933,1.2,4.3,0.291,2.3,3.2,0.377,17-18
1626246,0.1,0.2,0.333,,0.1,0.333,17-18
201628,0.6,1.9,0.324,1.4,1.6,0.432,17-18
1626171,0.5,1.2,0.442,0.1,1.1,0.453,17-18
203992,1.7,3.8,0.439,1.4,3.9,0.51,17-18
202711,0.9,2.0,0.441,0.6,2.1,0.509,17-18
203078,3.1,7.7,0.404,2.4,7.0,0.452,17-18
201148,0.0,0.1,0.0,,0.0,0.0,17-18
1627742,1.5,3.9,0.386,0.2,3.1,0.395,17-18
201943,1.1,2.3,0.469,0.9,2.5,0.547,17-18
203464,0.0,0.3,0.059,0.1,0.0,0.059,17-18
1627362,0.4,0.9,0.471,0.4,1.1,0.559,17-18
1627744,0.1,0.2,0.25,0.0,0.1,0.25,17-18
201572,0.5,1.3,0.368,0.1,1.0,0.384,17-18
203998,0.0,0.0,,0.0,0.0,,17-18
1627854,0.9,2.0,0.459,0.4,2.0,0.5,17-18
