PLAYER_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PIE,SEASON
201564,100.3,101.8,-1.5,0.194,1.54,18.2,0.019,0.089,0.055,11.8,0.493,0.529,0.094,14-15
203136,78.6,107.2,-28.6,0.154,1.2,24.0,0.109,0.115,0.113,20.0,0.667,0.727,0.085,14-15
201600,104.8,103.8,1.0,0.054,0.76,10.6,0.123,0.26,0.191,14.0,0.517,0.545,0.109,14-15
201956,102.3,108.2,-6.0,0.121,1.16,14.6,0.04,0.14,0.092,12.6,0.53,0.58,0.101,14-15
203490,102.3,103.2,-0.9,0.068,1.25,12.0,0.051,0.103,0.078,9.6,0.495,0.523,0.08,14-15
200782,102.6,103.8,-1.2,0.076,1.27,13.9,0.046,0.157,0.101,10.9,0.511,0.541,0.093,14-15
203798,97.5,105.7,-8.1,0.051,0.95,6.4,0.028,0.101,0.062,6.7,0.414,0.446,0.05,14-15
203143,101.0,104.4,-3.3,0.213,2.76,35.7,0.025,0.076,0.05,12.9,0.524,0.557,0.086,14-15
201976,106.3,103.6,2.7,0.171,2.31,23.0,0.038,0.099,0.068,9.9,0.492,0.509,0.071,14-15
203565,80.7,108.5,-27.8,0.0,0.0,0.0,0.071,0.154,0.111,7.7,0.25,0.25,-0.04,14-15
202335,111.4,105.8,5.6,0.108,2.87,19.9,0.057,0.145,0.1,6.9,0.547,0.568,0.099,14-15
201988,104.6,94.7,9.9,0.172,2.49,18.3,0.025,0.064,0.045,7.4,0.473,0.496,0.083,14-15
2200,106.1,102.9,3.2,0.142,1.33,12.4,0.08,0.237,0.161,9.4,0.5,0.55,0.169,14-15
202331,101.7,92.2,9.5,0.122,0.5,8.3,0.045,0.173,0.115,16.7,0.459,0.492,0.106,14-15
200794,110.3,102.1,8.3,0.149,1.34,15.2,0.062,0.181,0.123,11.3,0.518,0.565,0.13,14-15
1718,104.1,99.8,4.4,0.115,1.57,14.6,0.024,0.128,0.078,9.3,0.537,0.58,0.101,14-15
203544,106.2,98.3,7.9,0.072,1.0,11.0,0.056,0.127,0.092,11.0,0.453,0.508,0.053,14-15
203103,98.1,108.2,-10.2,0.046,0.75,7.5,0.009,0.105,0.057,10.0,0.435,0.459,0.044,14-15
203515,98.1,97.2,0.9,0.3,2.85,32.9,0.02,0.104,0.062,11.5,0.414,0.453,0.093,14-15
203112,94.6,101.9,-7.3,0.091,1.13,13.5,0.059,0.176,0.116,12.0,0.486,0.533,0.089,14-15
203113,105.1,87.7,17.4,0.092,1.6,14.3,0.03,0.116,0.073,8.9,0.276,0.338,0.046,14-15
202347,103.3,103.1,0.3,0.08,1.84,14.8,0.03,0.079,0.055,8.1,0.522,0.55,0.057,14-15
200765,101.7,102.6,-0.9,0.393,2.56,37.7,0.036,0.145,0.091,14.7,0.447,0.448,0.108,14-15
201196,96.6,103.5,-6.9,0.258,2.12,26.8,0.02,0.095,0.059,12.6,0.403,0.49,0.093,14-15
200751,102.0,106.5,-4.5,0.176,1.98,19.7,0.008,0.071,0.038,9.9,0.485,0.51,0.066,14-15
2446,99.7,101.7,-1.9,0.067,1.31,9.6,0.018,0.105,0.063,7.3,0.51,0.531,0.084,14-15
203492,101.5,109.6,-8.1,0.21,2.21,24.0,0.035,0.089,0.061,10.9,0.474,0.496,0.083,14-15
101109,96.2,100.5,-4.3,0.237,2.28,23.8,0.007,0.08,0.043,10.5,0.453,0.48,0.092,14-15
203493,95.3,94.9,0.4,0.038,1.0,8.9,0.003,0.14,0.071,8.9,0.45,0.466,0.055,14-15
2501,103.4,106.9,-3.5,0.065,0.71,12.3,0.124,0.27,0.195,17.3,0.423,0.49,0.096,14-15
202704,105.6,103.6,2.0,0.333,2.48,26.6,0.023,0.115,0.069,10.7,0.47,0.511,0.128,14-15
202130,92.1,113.7,-21.6,0.169,5.0,19.2,0.045,0.117,0.08,3.8,0.423,0.454,0.061,14-15
2210,104.3,102.2,2.0,0.073,1.17,12.5,0.02,0.121,0.072,10.6,0.546,0.577,0.074,14-15
203495,94.7,105.3,-10.6,0.143,0.73,12.6,0.061,0.086,0.073,17.2,0.385,0.426,0.033,14-15
201937,102.7,104.2,-1.4,0.422,3.02,37.9,0.026,0.152,0.087,12.6,0.386,0.452,0.124,14-15
203133,102.4,111.5,-9.1,0.058,1.5,11.7,0.04,0.147,0.091,7.8,0.506,0.536,0.063,14-15
203496,97.1,100.8,-3.7,0.095,0.82,9.7,0.03,0.128,0.077,11.9,0.506,0.554,0.1,14-15
203135,100.2,103.0,-2.8,0.076,1.53,12.6,0.074,0.127,0.099,8.2,0.412,0.449,0.062,14-15
201577,107.6,103.2,4.3,0.05,0.75,8.9,0.116,0.115,0.116,11.8,0.535,0.574,0.089,14-15
203918,102.6,98.8,3.8,0.136,1.84,15.5,0.008,0.101,0.055,8.4,0.497,0.529,0.08,14-15
201155,100.9,101.5,-0.6,0.2,1.86,18.5,0.019,0.107,0.064,10.0,0.477,0.528,0.115,14-15
101179,103.2,106.4,-3.3,0.244,3.17,35.8,0.018,0.052,0.035,11.3,0.415,0.455,0.055,14-15
101142,95.2,111.6,-16.4,0.167,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,14-15
201579,101.2,102.4,-1.1,0.076,0.79,8.4,0.082,0.193,0.139,10.7,0.446,0.501,0.108,14-15
200752,106.1,108.4,-2.4,0.185,1.37,14.6,0.042,0.124,0.084,10.7,0.491,0.556,0.131,14-15
203497,99.9,99.4,0.5,0.087,0.98,14.1,0.123,0.232,0.178,14.4,0.604,0.627,0.16,14-15
