PLAYER_ID,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,SEASON
1630639,0.1,0.8,0.7,1.6,2.1,1.7,2.0,9.1,22-23
1631260,0.3,0.8,0.3,0.3,3.6,2.9,2.7,11.1,22-23
1631100,1.0,1.1,0.9,3.2,6.5,6.0,6.0,20.7,22-23
203932,2.1,2.5,2.3,10.4,10.0,8.0,8.6,33.1,22-23
1628988,0.5,0.5,0.3,1.5,4.9,4.2,3.6,14.3,22-23
1630174,1.6,1.0,1.8,3.3,9.3,7.7,7.7,27.6,22-23
1630598,1.5,1.1,1.5,3.9,6.0,5.7,4.8,18.9,22-23
1629678,0.9,0.7,0.2,1.7,4.3,2.6,4.2,10.7,22-23
201143,1.0,0.9,0.8,2.5,9.5,7.6,7.7,31.3,22-23
202692,1.6,1.2,0.7,2.5,7.4,6.9,4.8,24.7,22-23
1630197,1.4,1.0,1.1,3.9,7.8,6.6,5.8,22.2,22-23
1627936,1.3,0.4,1.0,2.1,7.4,5.3,5.5,20.4,22-23
203458,0.3,0.7,0.1,1.2,2.1,1.7,1.7,5.6,22-23
1628993,0.0,0.0,0.8,1.5,1.8,0.3,1.3,6.0,22-23
1631214,0.0,0.0,0.0,0.0,6.0,2.0,0.0,10.0,22-23
1630578,1.6,2.6,0.7,11.0,11.9,8.1,11.4,29.6,22-23
1629599,0.4,0.3,0.7,1.5,5.0,4.0,3.9,13.1,22-23
203083,1.1,1.9,0.7,5.0,4.0,3.8,2.9,11.8,22-23
2738,0.3,0.5,0.3,1.5,4.9,2.9,2.8,15.0,22-23
1629614,1.6,0.7,1.7,4.1,10.5,9.1,8.8,31.4,22-23
203952,3.1,2.1,2.0,6.8,11.5,8.9,9.4,32.9,22-23
1629014,3.1,1.6,2.3,6.1,12.0,9.8,10.3,38.2,22-23
203076,3.3,5.1,1.8,15.8,11.4,8.9,11.3,35.6,22-23
1630162,3.4,1.5,3.6,10.4,13.3,10.4,10.6,37.9,22-23
1630264,0.8,1.0,0.5,2.2,3.7,2.8,2.5,10.8,22-23
1630237,0.5,0.6,0.7,2.3,8.7,5.2,5.0,19.2,22-23
1630559,1.9,1.1,2.3,4.7,10.1,8.3,9.3,31.1,22-23
203085,0.9,0.5,0.7,1.8,7.6,6.0,6.0,21.8,22-23
1630245,1.8,0.8,2.3,5.0,8.9,6.7,7.7,26.0,22-23
1628389,3.3,2.4,2.0,14.6,10.6,8.3,8.6,32.9,22-23
1627732,0.9,0.9,0.9,6.1,9.3,8.2,7.9,26.5,22-23
1631097,2.6,1.9,3.6,7.2,11.3,9.3,8.7,32.2,22-23
202687,0.4,1.0,0.4,3.9,4.5,4.5,3.8,13.9,22-23
201933,0.3,0.7,0.2,2.0,4.1,3.1,4.3,13.0,22-23
1631104,0.9,0.5,0.8,2.2,8.3,5.5,6.9,20.1,22-23
1626246,0.2,1.0,0.0,2.6,1.9,1.1,1.3,4.2,22-23
1626171,1.4,2.5,0.9,6.6,9.7,7.7,7.4,27.3,22-23
203992,1.2,1.2,1.7,3.2,9.3,8.4,8.9,29.6,22-23
202711,2.9,2.0,2.4,6.9,12.5,10.6,9.1,37.3,22-23
1629626,1.6,2.0,1.5,5.8,8.7,6.4,7.5,20.9,22-23
1630538,1.6,0.9,1.6,3.3,8.0,5.3,5.5,21.4,22-23
203078,2.4,1.9,1.5,10.6,11.1,9.8,9.3,34.6,22-23
1630527,0.6,0.5,1.1,2.7,4.9,3.0,4.1,12.8,22-23
1629634,1.3,2.0,1.3,7.8,6.9,6.2,5.4,18.3,22-23
1627742,3.7,2.2,2.4,9.3,12.7,9.8,9.4,34.0,22-23
1630296,0.0,0.0,0.0,0.0,0.3,3.0,1.3,3.3,22-23
201572,1.1,2.5,0.5,7.7,10.1,7.6,7.5,29.7,22-23
1628971,2.0,1.0,2.7,6.3,10.8,8.2,7.5,30.0,22-23
1628981,0.3,1.1,0.2,3.0,4.8,2.9,2.7,9.1,22-23
1631121,0.7,0.6,0.7,2.3,7.1,4.8,4.9,18.8,22-23
1627854,0.8,0.4,0.2,0.7,4.6,3.3,3.2,11.4,22-23
1631205,0.0,0.2,0.0,0.2,3.2,2.2,3.9,9.2,22-23
1627741,2.8,1.7,3.8,3.7,11.5,10.4,9.3,34.2,22-23
203468,2.2,1.6,2.6,6.9,12.7,9.7,10.6,37.5,22-23
1630595,2.5,1.4,1.2,8.2,12.5,10.8,10.1,40.3,22-23
1631216,0.6,0.6,0.2,0.7,6.6,4.6,5.8,15.7,22-23
1628997,1.6,1.3,1.6,3.7,9.7,7.3,7.3,28.6,22-23
1629629,1.7,0.7,1.4,4.5,8.7,7.6,8.9,27.6,22-23
1630560,2.0,0.8,0.9,3.6,5.8,5.3,4.4,17.9,22-23
1629661,2.9,1.9,2.2,4.3,9.2,8.3,8.0,30.0,22-23
1626166,1.1,1.1,1.0,3.9,6.7,6.3,5.1,21.6,22-23
1627747,2.0,1.0,1.4,4.8,9.6,7.9,8.0,29.4,22-23
1630637,0.4,0.4,0.7,0.6,1.1,1.6,2.1,5.7,22-23
1626224,1.9,0.8,1.5,3.1,6.2,5.4,5.2,19.9,22-23
1628435,2.0,2.0,0.0,2.0,4.0,4.0,9.0,28.0,22-23
1629646,0.8,2.2,0.1,4.3,5.7,3.6,4.6,15.8,22-23
1631320,0.0,0.0,1.0,1.0,4.0,1.0,2.5,4.0,22-23
1629002,0.8,0.7,0.7,3.5,2.8,2.6,2.3,11.0,22-23
1628449,2.3,2.8,1.9,4.9,5.7,4.8,6.2,19.7,22-23
1630537,1.3,1.0,0.9,2.1,7.8,6.0,6.4,21.5,22-23
101108,1.7,1.1,0.6,3.1,9.8,9.3,9.1,30.4,22-23
1629735,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,22-23
1631128,1.0,0.4,1.4,2.8,5.6,4.3,4.3,17.0,22-23
1631132,0.6,0.9,0.2,2.3,3.9,2.9,4.4,11.9,22-23
1626174,2.2,1.9,1.1,7.9,8.1,8.2,6.4,26.6,22-23
1629643,0.8,0.7,0.1,1.2,8.3,5.9,7.3,20.2,22-23
