PLAYER_ID,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON
203928,0.4,0.2,0.2,4.33,4.53,3.88,15-16
202709,1.9,1.1,0.8,4.47,4.74,4.18,15-16
1626262,0.1,0.1,0.1,4.14,3.95,4.36,15-16
201584,2.1,1.1,1.0,4.22,4.38,4.05,15-16
1626245,0.8,0.4,0.4,4.41,4.76,4.07,15-16
1626156,2.1,1.1,0.9,4.38,4.69,4.05,15-16
201571,1.3,0.7,0.6,4.11,4.44,3.76,15-16
2563,3.0,1.5,1.5,4.26,4.19,4.31,15-16
203081,2.5,1.4,1.1,4.19,4.65,3.72,15-16
203996,0.5,0.3,0.3,4.11,4.41,3.83,15-16
204014,0.6,0.3,0.3,4.26,4.72,3.82,15-16
201568,2.3,1.3,1.0,3.96,4.29,3.62,15-16
201980,2.0,1.1,0.9,4.6,4.88,4.29,15-16
201967,1.9,1.0,0.9,4.55,4.93,4.19,15-16
201589,1.5,0.8,0.7,4.05,4.35,3.76,15-16
201954,2.1,1.1,1.0,4.24,4.48,4.0,15-16
1626199,0.7,0.4,0.3,4.29,4.65,3.97,15-16
101135,1.2,0.6,0.6,4.23,4.46,4.0,15-16
2561,1.1,0.6,0.5,3.83,4.03,3.63,15-16
201599,2.2,1.1,1.1,3.86,4.05,3.68,15-16
201971,0.5,0.3,0.2,3.97,4.08,3.85,15-16
201942,2.5,1.4,1.1,4.14,4.48,3.76,15-16
202326,2.1,1.1,1.0,3.66,3.86,3.47,15-16
201960,2.1,1.1,0.9,4.09,4.09,4.1,15-16
1626153,0.6,0.3,0.3,4.44,4.71,4.14,15-16
203471,1.5,0.8,0.7,4.46,4.87,4.08,15-16
101114,2.3,1.3,1.0,4.28,4.75,3.8,15-16
202324,2.2,1.2,1.0,4.07,4.26,3.85,15-16
201565,2.3,1.2,1.0,4.28,4.65,3.93,15-16
202682,1.2,0.7,0.5,4.08,4.36,3.78,15-16
1626164,2.0,1.0,0.9,4.26,4.51,4.0,15-16
