PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
203932,54.5,32.7,2.4,2.62,1.76,0.297,2.6,2.9,4.3,18-19
1628988,23.0,10.5,1.6,4.09,3.82,0.256,0.2,0.0,0.1,18-19
1627846,10.3,6.5,0.4,2.18,1.53,0.387,0.1,0.0,0.3,18-19
201143,57.0,37.4,1.7,1.78,0.76,0.239,4.1,3.7,5.2,18-19
202329,36.0,16.9,1.1,1.91,0.92,0.261,1.1,0.3,2.4,18-19
1626210,12.6,6.6,0.3,1.3,0.28,0.286,1.6,0.6,2.2,18-19
202692,35.7,21.4,1.9,3.21,2.56,0.246,0.3,0.3,0.8,18-19
203518,16.6,12.4,0.5,1.9,1.11,0.321,0.3,0.0,0.1,18-19
1627936,40.7,16.1,2.6,3.85,3.23,0.225,0.7,0.0,1.3,18-19
203458,36.9,24.0,0.8,1.37,0.37,0.301,2.4,1.2,6.5,18-19
1627816,27.1,15.7,0.6,1.32,0.4,0.188,1.3,0.1,2.7,18-19
1628035,17.9,10.4,0.5,1.62,0.64,0.261,0.3,0.1,1.8,18-19
1628993,6.1,2.4,0.2,2.29,1.07,0.153,0.0,0.1,0.6,18-19
203459,31.8,25.6,0.7,1.41,0.55,0.302,0.4,0.0,0.6,18-19
1629019,34.5,22.5,2.4,4.16,3.48,0.314,0.3,0.1,0.4,18-19
1628518,7.3,4.0,0.2,1.66,0.62,0.307,0.7,0.3,1.7,18-19
101161,20.7,12.4,0.5,1.34,0.42,0.19,2.0,0.3,2.4,18-19
203083,53.7,29.6,1.7,1.87,0.9,0.323,3.3,3.9,12.8,18-19
2738,38.3,20.4,1.6,2.5,1.5,0.149,0.9,0.3,1.7,18-19
201281,5.5,4.3,0.1,1.53,1.05,0.0,0.3,0.0,0.8,18-19
101106,21.8,11.7,0.6,1.62,0.59,0.163,1.3,0.7,2.8,18-19
1626150,23.5,8.3,2.2,5.56,5.37,0.135,0.1,0.1,0.3,18-19
203952,48.0,34.8,2.6,3.23,2.24,0.377,0.8,2.3,2.2,18-19
1629014,12.4,5.0,1.0,5.08,4.66,0.302,0.1,0.0,0.2,18-19
1629116,10.5,6.0,0.3,1.46,0.33,0.143,1.0,0.0,2.5,18-19
1627790,22.8,14.9,0.7,1.79,0.59,0.342,4.1,2.5,6.1,18-19
203076,73.7,45.7,2.6,2.11,1.04,0.352,3.8,7.0,8.9,18-19
201229,22.1,12.2,0.5,1.37,0.32,0.227,0.4,0.2,0.7,18-19
1628469,16.1,12.1,1.0,3.67,3.24,0.456,0.2,0.0,0.3,18-19
203382,23.7,15.3,0.5,1.32,0.28,0.235,1.4,0.6,3.8,18-19
203085,34.2,18.7,2.1,3.73,3.12,0.238,0.2,0.1,0.5,18-19
202340,35.1,26.0,1.4,2.35,1.96,0.283,1.0,0.0,1.4,18-19
1629168,6.1,4.0,0.2,1.93,1.19,0.535,0.3,0.0,0.3,18-19
1628389,34.5,22.2,1.2,2.08,0.92,0.258,4.3,1.9,5.9,18-19
203463,12.1,7.0,0.3,1.62,0.7,0.328,0.2,0.0,0.5,18-19
1627732,87.0,27.1,6.4,4.4,3.39,0.194,3.0,4.4,6.0,18-19
1628656,26.3,12.3,2.1,4.9,4.65,0.248,0.0,0.0,0.0,18-19
202687,24.9,12.4,0.6,1.48,0.35,0.176,1.7,0.1,4.0,18-19
201933,88.5,54.3,4.8,3.26,2.38,0.277,2.1,8.4,2.8,18-19
1626246,21.8,13.7,0.6,1.61,0.46,0.334,2.2,2.1,5.2,18-19
1626171,50.5,29.7,1.5,1.77,0.84,0.281,1.8,3.7,4.3,18-19
203992,54.5,31.5,3.0,3.3,2.55,0.26,0.5,0.8,1.3,18-19
202711,42.9,34.0,1.7,2.33,1.56,0.419,1.0,0.9,1.7,18-19
1629045,17.1,8.8,0.5,1.62,0.78,0.285,0.3,0.4,1.6,18-19
202954,19.9,8.5,1.4,4.25,3.9,0.196,0.0,0.0,0.1,18-19
203078,74.4,41.7,4.3,3.44,2.93,0.344,1.1,0.3,1.9,18-19
1629164,7.4,2.4,0.7,5.47,4.96,0.195,0.0,0.0,0.0,18-19
1627742,60.1,32.0,3.8,3.82,2.82,0.304,1.7,1.8,2.5,18-19
202688,32.1,13.7,2.3,4.26,4.23,0.213,0.2,0.0,0.3,18-19
1629102,13.1,10.3,0.5,2.21,1.69,0.388,0.1,0.0,0.4,18-19
201572,36.6,24.0,0.9,1.49,0.5,0.341,1.2,1.2,1.7,18-19
1628971,23.4,16.2,1.0,2.48,1.64,0.184,0.4,0.0,1.5,18-19
203998,32.6,19.0,0.9,1.71,0.64,0.254,1.2,0.4,2.1,18-19
1627854,37.6,20.1,2.3,3.59,3.0,0.314,0.1,0.0,0.1,18-19
1627741,55.9,35.3,2.3,2.44,1.75,0.37,0.8,0.1,1.8,18-19
203710,10.3,6.3,0.5,2.69,2.04,0.253,0.2,0.0,0.1,18-19
203468,53.4,30.8,3.4,3.81,3.42,0.393,0.7,0.1,0.9,18-19
101139,19.4,13.4,0.5,1.67,0.9,0.33,0.2,0.1,0.3,18-19
1628403,14.5,8.0,0.4,1.83,0.56,0.141,1.1,1.2,1.9,18-19
1629244,15.6,10.4,0.4,1.7,0.82,0.321,0.4,0.1,0.3,18-19
1626166,36.3,15.4,2.5,4.08,3.29,0.172,0.1,0.0,0.4,18-19
1627747,47.5,29.2,3.0,3.81,3.54,0.288,0.7,0.0,1.4,18-19
2546,32.7,21.2,1.1,2.04,0.94,0.41,0.4,2.8,1.1,18-19
1626224,51.5,32.0,2.5,2.9,1.96,0.253,1.3,0.7,0.9,18-19
1628990,26.3,13.7,0.9,2.12,1.25,0.198,0.7,0.1,1.2,18-19
202718,33.2,24.9,1.4,2.54,1.37,0.226,0.4,0.3,0.6,18-19
101112,16.5,10.8,0.5,1.72,0.48,0.217,0.4,0.8,0.2,18-19
1626184,28.9,10.0,2.2,4.47,4.06,0.193,0.1,0.0,0.5,18-19
1627767,24.2,10.8,0.5,1.34,0.35,0.25,1.6,0.5,3.8,18-19
1629002,9.6,5.9,0.3,2.03,0.79,0.183,0.3,1.2,1.0,18-19
1628449,9.7,5.3,0.3,1.58,0.46,0.343,0.5,0.1,1.1,18-19
1629185,9.1,3.4,0.7,4.74,4.41,0.094,0.0,0.0,0.0,18-19
101108,70.3,24.4,6.6,5.64,5.23,0.222,0.7,2.2,0.5,18-19
1626174,20.1,12.1,0.6,1.88,0.73,0.407,0.9,1.5,2.9,18-19
203991,59.8,30.1,1.5,1.55,0.37,0.278,5.2,0.5,13.2,18-19
203469,49.8,24.3,1.4,1.63,0.73,0.204,3.6,0.4,5.7,18-19
1629012,66.4,26.1,5.8,5.26,4.93,0.252,0.5,0.1,0.9,18-19
201147,17.3,11.7,0.6,2.05,1.19,0.281,0.3,0.0,1.4,18-19
