PLAYER_ID,PASSES_MADE,PASSES_RECEIVED,SECONDARY_AST,POTENTIAL_AST,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON
201166,9.0,10.5,0.0,1.3,0.7,0.07,0.073,17-18
203932,40.2,32.5,0.2,4.6,2.7,0.058,0.066,17-18
1626151,19.6,21.1,0.0,2.8,1.2,0.063,0.063,17-18
1628935,49.0,51.0,0.0,9.0,1.0,0.02,0.02,17-18
1627846,8.7,9.1,0.1,1.3,0.7,0.064,0.086,17-18
203940,10.0,6.6,0.0,0.2,0.0,0.0,0.0,17-18
201143,48.9,42.9,0.3,8.0,5.1,0.095,0.104,17-18
2744,19.7,15.6,0.1,1.6,1.0,0.042,0.051,17-18
202329,25.0,19.1,0.2,2.6,1.6,0.049,0.063,17-18
1626210,17.6,15.6,0.0,3.0,2.0,0.091,0.114,17-18
202692,16.8,19.8,0.3,2.2,1.4,0.062,0.081,17-18
1628409,11.9,10.0,0.1,0.8,0.7,0.051,0.055,17-18
203518,9.9,10.1,0.1,1.0,0.5,0.036,0.045,17-18
1627936,24.1,23.9,0.3,4.4,2.4,0.084,0.101,17-18
203458,23.6,17.2,0.1,2.6,1.3,0.05,0.057,17-18
1627816,3.8,2.4,0.0,0.2,0.1,0.021,0.032,17-18
1628035,3.1,3.0,0.1,0.2,0.1,0.023,0.045,17-18
203459,29.8,31.3,0.4,3.4,2.0,0.053,0.069,17-18
101161,21.5,17.4,0.1,2.7,1.7,0.074,0.079,17-18
203083,34.9,34.5,0.1,5.6,3.2,0.087,0.093,17-18
2738,36.0,32.1,0.5,5.7,4.0,0.091,0.11,17-18
201281,23.0,26.5,0.0,4.5,3.5,0.152,0.152,17-18
203460,19.2,12.6,0.2,1.9,1.5,0.062,0.076,17-18
101106,13.3,7.5,0.0,1.3,0.7,0.047,0.05,17-18
1626150,41.8,48.1,0.7,7.0,4.0,0.076,0.097,17-18
1628510,9.9,10.8,0.0,1.0,0.4,0.04,0.04,17-18
203952,22.1,31.5,0.4,3.7,2.5,0.088,0.111,17-18
1627790,5.8,4.1,0.1,0.3,0.2,0.027,0.038,17-18
1626148,4.0,3.0,0.0,1.0,1.0,0.25,0.25,17-18
203076,44.7,44.7,0.3,4.0,2.7,0.052,0.06,17-18
201229,38.1,20.9,0.1,2.3,1.3,0.03,0.033,17-18
1628469,9.0,16.1,0.0,2.1,1.1,0.117,0.117,17-18
1628499,3.8,4.4,0.0,0.6,0.1,0.031,0.031,17-18
203382,21.0,18.1,0.1,2.3,1.4,0.056,0.065,17-18
201167,10.2,10.6,0.1,1.5,0.6,0.056,0.061,17-18
203085,51.0,60.4,0.6,7.2,4.7,0.078,0.093,17-18
202340,22.7,33.8,0.4,3.7,2.5,0.09,0.111,17-18
1628389,19.6,19.0,0.1,3.4,1.5,0.074,0.079,17-18
203463,18.9,19.6,0.2,1.8,1.1,0.048,0.06,17-18
1628500,4.0,1.5,0.0,0.5,0.5,0.125,0.125,17-18
1627732,74.1,78.3,1.0,17.1,9.6,0.111,0.129,17-18
202687,23.9,13.8,0.0,1.3,0.8,0.034,0.034,17-18
201933,60.7,58.8,0.4,10.2,6.1,0.095,0.101,17-18
1626246,7.3,7.9,0.1,0.9,0.7,0.077,0.092,17-18
201628,8.3,10.9,0.0,1.4,0.6,0.066,0.066,17-18
1626171,28.8,26.3,0.1,2.9,1.8,0.058,0.064,17-18
203992,35.2,38.1,0.5,6.6,4.0,0.094,0.112,17-18
202711,22.2,26.9,0.2,2.7,1.7,0.067,0.078,17-18
203078,45.2,56.4,1.1,9.0,5.9,0.101,0.13,17-18
201148,14.8,10.8,0.1,0.8,0.6,0.031,0.039,17-18
1627742,36.5,42.7,0.6,8.2,4.6,0.107,0.125,17-18
201943,29.1,31.2,0.1,5.2,3.4,0.108,0.118,17-18
203464,8.1,7.9,0.1,1.1,0.7,0.071,0.087,17-18
1627362,22.9,20.4,0.1,3.7,1.4,0.053,0.061,17-18
1627744,7.1,4.4,0.1,0.3,0.1,0.016,0.016,17-18
201572,23.8,25.8,0.2,2.9,1.9,0.072,0.078,17-18
203998,10.3,6.0,0.0,0.3,0.4,0.033,0.041,17-18
1627854,13.9,18.6,0.3,1.9,1.3,0.072,0.094,17-18
1627741,23.6,29.5,0.2,3.9,2.3,0.082,0.096,17-18
203710,14.3,15.3,0.1,1.7,1.3,0.079,0.09,17-18
203468,35.0,51.0,0.5,7.1,4.0,0.096,0.113,17-18
101139,12.7,16.0,0.1,1.3,0.9,0.062,0.072,17-18
1628403,5.9,5.7,0.0,1.1,0.5,0.088,0.088,17-18
1626166,46.0,49.0,0.2,8.7,4.8,0.098,0.104,17-18
1627747,35.5,43.0,0.4,8.1,4.8,0.116,0.134,17-18
2546,36.0,28.8,0.1,2.2,1.4,0.036,0.039,17-18
1626224,10.5,8.5,0.1,1.0,0.8,0.064,0.078,17-18
202718,21.6,22.5,0.3,3.5,2.2,0.089,0.103,17-18
101112,17.1,12.2,0.1,1.6,1.0,0.042,0.06,17-18
1628429,1.8,2.5,0.0,0.1,0.1,0.043,0.043,17-18
1627767,12.6,6.7,0.0,0.5,0.3,0.029,0.027,17-18
1627778,18.0,18.0,0.0,2.0,1.0,0.056,0.056,17-18
1628449,3.0,3.0,0.0,0.0,0.0,0.0,0.0,17-18
1626191,6.7,4.3,0.0,0.4,0.3,0.031,0.039,17-18
101108,50.4,59.4,0.6,15.4,8.9,0.156,0.176,17-18
203991,38.4,23.1,0.2,2.3,1.1,0.024,0.03,17-18
203469,13.3,12.8,0.1,1.7,1.1,0.07,0.084,17-18
202332,2.8,2.0,0.0,0.1,0.1,0.051,0.051,17-18
201147,10.3,10.3,0.0,1.8,1.0,0.087,0.1,17-18
202709,40.7,44.9,0.5,6.4,3.7,0.078,0.091,17-18
201584,25.9,32.5,0.3,4.8,2.8,0.092,0.107,17-18
1626245,15.1,14.8,0.1,2.0,1.1,0.066,0.076,17-18
1626156,45.7,59.3,0.5,10.4,6.0,0.113,0.131,17-18
