PLAYER_ID,PASSES_MADE,PASSES_RECEIVED,SECONDARY_AST,POTENTIAL_AST,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON
1630639,6.3,6.1,0.1,0.5,0.3,0.021,0.043,22-23
1631260,7.8,8.6,0.1,1.3,0.7,0.081,0.095,22-23
1631100,12.4,14.5,0.1,1.7,1.2,0.082,0.096,22-23
203932,26.5,28.2,0.4,4.7,3.6,0.113,0.137,22-23
1628988,15.4,16.4,0.1,3.0,1.7,0.092,0.112,22-23
1630174,25.3,20.7,0.2,2.0,1.6,0.053,0.065,22-23
1630598,14.1,13.6,0.2,2.0,1.4,0.081,0.101,22-23
1629678,15.2,10.5,0.0,1.4,0.9,0.055,0.059,22-23
201143,36.7,27.6,0.4,4.7,3.6,0.082,0.099,22-23
202692,21.6,24.7,0.2,3.6,2.5,0.103,0.115,22-23
1630197,31.9,24.8,0.1,3.4,2.1,0.059,0.066,22-23
1627936,35.1,26.9,0.3,4.5,3.6,0.082,0.102,22-23
203458,7.8,4.5,0.1,0.7,0.5,0.059,0.069,22-23
1628993,8.8,5.8,0.0,1.3,0.3,0.029,0.029,22-23
1631214,7.0,5.0,0.0,0.0,0.0,0.0,0.0,22-23
1630578,39.8,37.0,0.3,6.7,4.7,0.097,0.118,22-23
1629599,9.3,10.4,0.2,1.9,1.4,0.114,0.146,22-23
203083,11.1,8.7,0.1,0.8,0.6,0.044,0.052,22-23
2738,21.4,14.7,0.6,3.4,3.1,0.12,0.147,22-23
1629614,36.9,41.0,0.4,8.7,5.7,0.123,0.154,22-23
203952,28.8,33.3,0.6,4.8,3.1,0.08,0.109,22-23
1629014,45.4,57.5,1.0,7.1,5.4,0.09,0.118,22-23
203076,44.9,38.6,0.4,4.4,3.1,0.059,0.069,22-23
1630162,44.8,53.6,0.8,7.9,5.4,0.099,0.122,22-23
1630264,7.8,7.0,0.1,1.0,0.7,0.073,0.086,22-23
1630237,25.6,18.6,0.2,3.4,2.0,0.06,0.079,22-23
1630559,29.7,30.0,0.4,6.2,4.0,0.113,0.134,22-23
203085,17.4,18.2,0.3,2.4,1.8,0.083,0.105,22-23
1630245,32.9,32.6,0.4,4.6,3.2,0.079,0.097,22-23
1628389,40.7,42.1,0.4,5.7,3.8,0.079,0.094,22-23
1627732,52.2,42.3,0.6,9.5,7.0,0.117,0.134,22-23
1631097,24.0,30.7,0.3,2.8,2.0,0.062,0.082,22-23
202687,18.2,12.5,0.1,1.4,1.0,0.05,0.056,22-23
201933,16.3,12.0,0.1,2.2,1.6,0.091,0.1,22-23
1631104,27.4,29.2,0.8,5.6,3.7,0.1,0.136,22-23
1626246,4.3,4.3,0.0,0.5,0.3,0.067,0.075,22-23
1626171,35.4,23.5,0.2,2.9,1.8,0.042,0.052,22-23
203992,26.4,28.8,0.4,4.8,3.4,0.105,0.13,22-23
202711,26.0,34.4,0.4,5.6,3.3,0.099,0.125,22-23
1629626,13.7,13.4,0.1,1.7,1.1,0.072,0.081,22-23
1630538,31.8,37.6,0.5,5.4,4.0,0.097,0.125,22-23
203078,42.9,56.1,0.8,10.8,7.0,0.126,0.163,22-23
1630527,12.2,13.7,0.2,2.0,1.0,0.074,0.086,22-23
1629634,20.0,17.9,0.2,2.5,1.6,0.064,0.081,22-23
1627742,39.1,54.0,0.8,10.9,7.3,0.149,0.187,22-23
1630296,2.7,1.7,0.0,0.3,0.0,0.0,0.0,22-23
201572,20.2,22.5,0.2,2.2,1.5,0.063,0.074,22-23
1628971,38.8,38.4,0.5,5.5,4.1,0.086,0.104,22-23
1628981,14.3,9.8,0.1,1.4,0.9,0.056,0.065,22-23
1631121,12.3,13.5,0.1,2.0,1.3,0.095,0.109,22-23
1627854,7.5,8.9,0.1,1.0,0.8,0.091,0.112,22-23
1631205,5.8,5.0,0.0,0.7,0.4,0.069,0.069,22-23
1627741,42.2,38.6,0.6,4.9,3.7,0.067,0.087,22-23
203468,51.0,64.8,0.7,10.6,7.2,0.112,0.142,22-23
1630595,50.3,65.8,0.4,12.6,8.3,0.119,0.164,22-23
1631216,9.5,7.9,0.1,1.0,0.7,0.062,0.073,22-23
1628997,28.5,25.6,0.3,3.5,2.2,0.058,0.078,22-23
1629629,17.9,21.0,0.2,2.9,1.7,0.08,0.092,22-23
1630560,17.5,23.3,0.2,2.5,1.6,0.078,0.094,22-23
