PLAYER_ID,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,SEASON
203932,0.688,0.312,0.616,0.073,0.232,0.139,0.152,0.152,0.544,0.628,0.372,0.851,0.149,0.673,0.327,21-22
1630565,0.8,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,21-22
1628988,0.695,0.305,0.56,0.075,0.293,0.113,0.147,0.183,0.485,0.348,0.652,0.718,0.282,0.444,0.556,21-22
1630174,0.368,0.632,0.418,0.082,0.474,0.138,0.108,0.158,0.337,0.805,0.195,0.935,0.065,0.861,0.139,21-22
1630598,0.591,0.409,0.548,0.019,0.303,0.154,0.149,0.144,0.529,0.561,0.439,0.976,0.024,0.673,0.327,21-22
1627846,0.6,0.4,0.471,0.0,0.353,0.206,0.176,0.118,0.471,0.5,0.5,1.0,0.0,0.667,0.333,21-22
1630278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21-22
1629678,0.388,0.612,0.384,0.041,0.534,0.068,0.082,0.137,0.342,0.714,0.286,0.962,0.038,0.833,0.167,21-22
1629958,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,21-22
201143,0.534,0.466,0.505,0.066,0.381,0.063,0.114,0.15,0.439,0.678,0.322,0.978,0.022,0.778,0.222,21-22
202692,0.466,0.534,0.271,0.064,0.499,0.071,0.23,0.149,0.208,0.43,0.57,0.752,0.248,0.607,0.393,21-22
1630758,0.25,0.75,0.571,0.0,0.429,0.143,0.0,0.143,0.571,0.75,0.25,1.0,0.0,0.833,0.167,21-22
1630197,0.568,0.432,0.556,0.056,0.369,0.17,0.075,0.19,0.5,0.535,0.465,0.947,0.053,0.661,0.339,21-22
1627936,0.508,0.492,0.395,0.039,0.414,0.099,0.191,0.211,0.355,0.567,0.433,0.929,0.071,0.716,0.284,21-22
203458,0.881,0.119,0.749,0.017,0.077,0.072,0.174,0.111,0.732,0.773,0.227,1.0,0.0,0.787,0.213,21-22
1628035,0.557,0.443,0.508,0.068,0.458,0.237,0.034,0.22,0.441,0.733,0.267,1.0,0.0,0.833,0.167,21-22
1628993,0.897,0.103,0.829,0.0,0.0,0.22,0.171,0.146,0.829,0.529,0.471,0.0,0.0,0.529,0.471,21-22
1630578,0.777,0.223,0.636,0.012,0.126,0.048,0.238,0.14,0.624,0.436,0.564,0.966,0.034,0.498,0.502,21-22
1629599,0.455,0.545,0.372,0.042,0.465,0.179,0.163,0.171,0.33,0.591,0.409,0.938,0.063,0.749,0.251,21-22
