PLAYER_ID,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_AST,DRIVE_TOV,SEASON
201985,3.9,0.7,1.4,0.486,0.2,0.3,1.6,0.416,1.7,0.3,0.2,14-15
201166,10.4,2.0,4.3,0.465,0.8,0.9,4.9,0.468,3.8,0.9,0.7,14-15
203932,2.0,0.5,1.0,0.449,0.2,0.3,1.2,0.598,0.4,0.0,0.2,14-15
203940,1.8,0.4,1.1,0.361,0.2,0.3,1.0,0.589,0.2,0.0,0.2,14-15
201143,1.9,0.5,0.9,0.567,0.3,0.3,1.3,0.685,0.6,0.2,0.1,14-15
2744,0.1,0.0,0.1,0.4,0.0,0.0,0.1,0.556,0.0,0.0,0.0,14-15
202329,1.6,0.2,0.6,0.395,0.3,0.4,0.8,0.492,0.6,0.1,0.2,14-15
101187,3.1,0.7,1.4,0.53,0.3,0.4,1.7,0.549,1.0,0.2,0.2,14-15
202692,7.0,1.3,3.8,0.333,1.0,1.4,3.7,0.532,1.6,0.4,0.4,14-15
203945,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,14-15
203458,0.1,0.1,0.1,0.444,0.0,0.0,0.1,0.8,0.0,0.0,0.0,14-15
203144,6.4,1.0,2.4,0.444,1.5,1.8,3.7,0.572,2.0,0.7,0.2,14-15
201582,0.6,0.2,0.3,0.696,0.1,0.1,0.6,0.951,0.1,0.0,0.0,14-15
203459,0.5,0.1,0.2,0.545,0.1,0.1,0.3,0.593,0.2,0.0,0.0,14-15
202087,1.9,0.3,0.8,0.4,0.3,0.4,1.0,0.515,0.6,0.1,0.1,14-15
2405,0.4,0.1,0.2,0.357,0.1,0.1,0.3,0.68,0.1,0.0,0.0,14-15
101161,1.1,0.3,0.6,0.581,0.3,0.4,0.9,0.835,0.2,0.1,0.1,14-15
2760,0.8,0.2,0.4,0.364,0.2,0.2,0.5,0.636,0.2,0.1,0.0,14-15
203958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14-15
203083,0.2,0.1,0.2,0.385,0.0,0.1,0.1,0.667,0.0,0.0,0.0,14-15
2738,2.2,0.3,0.7,0.434,0.1,0.3,0.8,0.343,0.8,0.3,0.2,14-15
1889,3.5,0.7,1.3,0.486,0.3,0.4,1.6,0.465,1.4,0.3,0.2,14-15
203460,1.0,0.2,0.4,0.448,0.1,0.2,0.5,0.493,0.3,0.1,0.1,14-15
200745,2.4,0.6,1.2,0.471,0.8,0.8,2.0,0.817,0.6,0.1,0.1,14-15
1905,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14-15
101106,0.4,0.1,0.2,0.462,0.0,0.0,0.2,0.542,0.0,0.1,0.0,14-15
