PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
203114,66.1,33.0,4.2,3.85,2.93,0.304,0.8,2.1,1.2,21-22
1630165,52.6,21.4,3.5,4.01,3.3,0.131,0.3,0.0,0.7,21-22
1629681,13.8,8.6,0.4,1.55,0.7,0.234,0.1,0.1,0.6,21-22
1630184,32.0,13.5,2.1,3.97,3.35,0.184,0.1,0.0,0.3,21-22
202691,44.2,33.8,1.7,2.33,1.54,0.461,0.7,0.9,1.3,21-22
1627739,58.5,21.9,4.4,4.54,3.76,0.129,0.6,0.9,0.8,21-22
204001,56.0,37.5,1.6,1.72,0.66,0.361,3.6,5.1,6.2,21-22
203937,33.9,17.6,1.4,2.57,1.5,0.223,1.1,0.1,1.9,21-22
1629657,17.4,7.9,1.0,3.5,2.87,0.224,0.1,0.0,0.3,21-22
1628398,56.5,31.9,2.8,2.95,1.96,0.303,1.2,0.7,2.3,21-22
200768,81.4,35.0,5.0,3.71,2.86,0.165,0.5,0.2,0.9,21-22
202681,81.0,35.5,5.8,4.3,3.63,0.339,0.6,0.7,0.9,21-22
200746,34.9,22.2,1.0,1.7,0.57,0.37,3.8,2.6,4.0,21-22
1630163,86.9,34.6,6.1,4.24,3.77,0.231,0.4,0.0,1.6,21-22
1630205,19.8,12.6,0.8,2.29,1.25,0.307,0.3,0.2,1.4,21-22
202362,39.5,17.8,3.0,4.57,3.88,0.212,0.1,0.0,0.3,21-22
1629013,25.2,16.5,0.9,2.13,1.65,0.329,0.2,0.0,0.3,21-22
204038,20.4,11.1,1.0,2.84,2.49,0.098,0.3,0.0,0.9,21-22
1626204,32.1,18.4,1.2,2.15,1.13,0.218,2.3,0.6,3.3,21-22
1628374,42.7,28.4,1.3,1.81,0.67,0.346,1.2,1.6,3.8,21-22
2544,87.4,40.7,6.2,4.28,3.07,0.346,3.2,4.3,3.9,21-22
1630195,13.1,5.3,0.9,3.9,3.54,0.109,0.1,0.0,0.5,21-22
1629623,16.7,7.0,1.2,4.28,3.78,0.252,0.0,0.0,0.5,21-22
1630322,23.1,16.6,0.7,1.88,1.14,0.345,0.0,0.0,0.4,21-22
1629022,31.3,21.1,1.6,3.12,2.44,0.388,0.3,0.0,0.6,21-22
1628366,73.7,27.3,4.2,3.44,2.63,0.176,0.9,0.1,1.5,21-22
101150,23.7,11.0,1.8,4.61,3.65,0.267,0.1,0.0,0.3,21-22
1629663,16.4,9.0,0.8,2.74,1.85,0.274,0.1,0.0,0.0,21-22
1629652,42.1,27.4,2.1,2.98,2.37,0.408,0.4,0.3,1.2,21-22
1629029,90.5,34.8,9.3,6.19,5.37,0.314,0.5,3.7,1.0,21-22
