PLAYER_ID,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_AST,DRIVE_TOV,SEASON
1631367,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,22-23
1630702,5.2,1.0,2.1,0.485,0.7,0.8,2.8,0.544,2.0,0.4,0.4,22-23
1631093,12.1,1.8,4.2,0.443,1.6,2.1,5.4,0.449,5.3,1.6,1.0,22-23
1630183,5.4,1.1,2.4,0.478,0.4,0.6,2.8,0.526,2.0,0.6,0.5,22-23
1630531,1.3,0.4,0.8,0.462,0.1,0.1,0.8,0.65,0.3,0.1,0.1,22-23
203109,1.0,0.3,0.7,0.385,0.2,0.2,0.7,0.722,0.2,0.0,0.0,22-23
1630256,6.0,1.6,3.1,0.537,0.4,0.6,3.8,0.634,2.1,0.5,0.4,22-23
1631222,0.8,0.2,0.3,0.5,0.1,0.1,0.4,0.536,0.3,0.0,0.1,22-23
1627751,1.5,0.5,0.8,0.655,0.1,0.2,1.2,0.819,0.5,0.1,0.1,22-23
1628973,19.6,4.6,9.0,0.504,2.2,2.5,11.8,0.601,7.8,1.9,0.9,22-23
1631105,0.2,0.1,0.1,0.5,0.0,0.0,0.1,0.5,0.1,0.0,0.0,22-23
1630224,12.9,2.9,6.5,0.443,2.8,3.4,8.8,0.685,3.5,0.8,0.7,22-23
1630552,1.8,0.4,0.7,0.51,0.3,0.5,1.0,0.579,0.8,0.2,0.1,22-23
1629667,4.0,0.7,1.9,0.38,0.5,0.6,2.0,0.491,1.3,0.3,0.4,22-23
1630188,0.8,0.3,0.6,0.45,0.1,0.1,0.7,0.807,0.1,0.0,0.0,22-23
1630591,3.9,1.0,2.0,0.505,0.4,0.6,2.5,0.632,1.2,0.3,0.4,22-23
1631114,9.5,2.2,4.2,0.518,0.7,0.9,5.2,0.542,4.1,1.1,0.6,22-23
1631288,0.6,0.2,0.5,0.444,0.0,0.0,0.4,0.8,0.1,0.0,0.0,22-23
1627750,9.9,2.3,4.6,0.49,0.9,1.0,5.5,0.55,4.0,1.4,0.5,22-23
1631123,3.0,0.8,1.0,0.8,0.2,0.4,2.0,0.667,1.6,0.2,0.2,22-23
1630547,2.2,0.5,1.1,0.486,0.2,0.4,1.3,0.592,0.6,0.1,0.4,22-23
201935,13.5,2.4,5.2,0.46,2.3,2.7,7.4,0.548,5.9,1.7,0.7,22-23
201949,1.8,0.6,1.2,0.476,0.2,0.3,1.3,0.697,0.4,0.1,0.0,22-23
1630164,0.6,0.2,0.4,0.438,0.1,0.2,0.4,0.769,0.0,0.0,0.1,22-23
1630215,5.0,1.2,2.7,0.438,0.0,0.0,2.3,0.467,2.0,0.3,0.2,22-23
1631197,0.8,0.1,0.4,0.333,0.1,0.1,0.4,0.545,0.1,0.1,0.1,22-23
1628991,5.2,1.7,3.3,0.507,1.4,1.8,4.9,0.945,0.5,0.1,0.4,22-23
1629020,1.5,0.2,0.5,0.421,0.2,0.3,0.6,0.404,0.7,0.2,0.1,22-23
1629714,2.0,0.8,1.0,0.75,0.5,0.5,2.0,1.0,0.5,0.3,0.3,22-23
1628386,0.3,0.1,0.2,0.462,0.0,0.1,0.2,0.696,0.1,0.0,0.0,22-23
1629633,2.2,0.4,1.0,0.4,0.2,0.2,1.0,0.455,0.7,0.1,0.2,22-23
1630554,2.3,0.4,1.0,0.357,0.0,0.0,0.7,0.313,1.0,0.2,0.3,22-23
1629750,1.0,0.1,0.4,0.308,0.3,0.5,0.5,0.515,0.2,0.1,0.1,22-23
1629637,0.7,0.1,0.3,0.429,0.1,0.3,0.4,0.576,0.2,0.0,0.1,22-23
1630643,1.0,0.1,0.4,0.333,0.0,0.0,0.4,0.429,0.4,0.3,0.1,22-23
1630206,2.5,1.0,1.5,0.667,0.0,0.0,2.0,0.8,0.5,0.0,0.5,22-23
1627759,11.4,3.4,5.9,0.579,1.7,2.0,8.8,0.772,3.3,0.7,0.9,22-23
1629669,5.6,1.6,3.2,0.51,0.5,0.6,3.8,0.683,1.7,0.5,0.3,22-23
1631119,1.0,0.1,0.3,0.429,0.1,0.1,0.4,0.383,0.5,0.0,0.1,22-23
1628369,11.2,3.0,5.7,0.522,2.0,2.4,8.2,0.738,3.3,0.7,0.7,22-23
1630288,1.7,0.4,0.8,0.474,0.1,0.2,0.9,0.524,0.8,0.2,0.1,22-23
201145,1.7,0.4,0.8,0.545,0.5,0.6,1.4,0.83,0.4,0.1,0.1,22-23
203924,6.5,1.5,3.0,0.487,1.6,2.0,4.6,0.708,1.7,0.4,0.6,22-23
1630526,0.8,0.2,0.2,0.778,0.1,0.1,0.5,0.571,0.4,0.1,0.1,22-23
1631110,6.6,1.2,2.9,0.419,0.7,0.9,3.2,0.49,2.6,0.5,0.5,22-23
1630579,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,22-23
1628975,3.4,0.4,1.1,0.376,0.1,0.1,0.9,0.274,1.9,0.4,0.2,22-23
202710,14.1,2.8,5.4,0.517,2.3,2.6,8.2,0.586,6.5,1.5,0.5,22-23
1629111,0.1,0.0,0.1,0.5,0.0,0.0,0.1,0.444,0.1,0.0,0.0,22-23
203925,2.1,0.2,0.5,0.382,0.1,0.1,0.4,0.197,1.4,0.3,0.2,22-23
204060,3.0,0.4,0.7,0.563,0.1,0.1,0.9,0.301,1.8,0.5,0.3,22-23
1630580,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,22-23
203954,6.3,2.0,3.4,0.578,2.1,2.5,6.4,1.014,0.9,0.3,0.5,22-23
1631219,0.2,0.1,0.1,0.5,0.0,0.0,0.2,1.0,0.1,0.0,0.0,22-23
1628381,2.4,0.8,1.4,0.571,0.2,0.3,1.8,0.757,0.6,0.1,0.3,22-23
1629723,1.2,0.1,0.5,0.2,0.1,0.1,0.3,0.241,0.5,0.1,0.1,22-23
202322,8.6,1.2,2.8,0.432,1.2,1.6,3.8,0.44,4.0,0.9,0.6,22-23
1631098,2.4,0.6,1.5,0.405,0.3,0.4,1.6,0.667,0.4,0.0,0.1,22-23
1630548,1.6,0.6,1.0,0.556,0.0,0.1,1.1,0.69,0.4,0.0,0.1,22-23
202685,0.6,0.2,0.4,0.448,0.1,0.1,0.4,0.717,0.1,0.0,0.1,22-23
1628371,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,22-23
1630228,3.7,0.9,1.7,0.513,0.5,0.7,2.2,0.602,1.2,0.4,0.3,22-23
203903,15.6,3.7,7.0,0.525,1.3,1.5,8.8,0.566,5.9,1.8,1.4,22-23
1630692,4.5,1.0,2.1,0.496,0.2,0.4,2.4,0.529,1.8,0.5,0.3,22-23
1631160,1.6,0.1,0.2,0.5,0.3,0.4,0.6,0.357,0.9,0.3,0.2,22-23
1629162,3.2,0.5,1.0,0.512,0.2,0.2,1.2,0.366,1.8,0.5,0.2,22-23
1629670,3.5,0.8,1.8,0.438,0.5,0.6,2.2,0.619,1.0,0.2,0.2,22-23
1629673,8.6,2.0,4.0,0.497,1.4,1.6,5.6,0.651,2.8,0.7,0.7,22-23
1630648,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,22-23
1630631,6.8,1.4,3.0,0.462,0.6,0.8,3.4,0.504,2.9,0.7,0.4,22-23
1630528,4.0,1.2,2.5,0.488,0.3,0.4,2.8,0.68,1.0,0.3,0.3,22-23
1630581,12.4,3.1,6.3,0.483,0.5,0.7,6.8,0.544,4.8,1.2,0.6,22-23
1630182,4.9,1.1,1.9,0.574,0.5,0.6,2.8,0.563,2.1,0.4,0.4,22-23
1628404,4.0,0.8,1.5,0.5,0.4,0.5,1.9,0.487,1.9,0.4,0.3,22-23
1631169,0.9,0.1,0.6,0.25,0.1,0.1,0.4,0.5,0.2,0.0,0.0,22-23
1629006,3.3,0.4,1.1,0.375,0.7,1.1,1.6,0.477,1.3,0.4,0.3,22-23
1626196,4.8,0.9,1.9,0.467,0.2,0.3,2.0,0.428,2.3,0.6,0.3,22-23
1630563,7.5,1.0,2.0,0.5,0.8,1.0,2.8,0.367,4.0,0.8,1.0,22-23
201950,11.8,2.7,5.0,0.542,0.9,1.1,6.5,0.551,5.2,1.5,0.7,22-23
1629308,1.5,0.3,0.7,0.457,0.1,0.1,0.7,0.481,0.6,0.1,0.2,22-23
1627823,0.2,0.0,0.1,0.333,0.0,0.0,0.0,0.222,0.1,0.0,0.0,22-23
1630577,0.8,0.2,0.5,0.429,0.0,0.0,0.4,0.5,0.1,0.0,0.1,22-23
203944,9.3,1.9,3.7,0.511,1.2,1.6,5.2,0.562,3.8,1.1,0.6,22-23
1630551,0.8,0.2,0.4,0.5,0.0,0.0,0.4,0.5,0.4,0.2,0.0,22-23
203200,0.4,0.1,0.1,0.6,0.0,0.0,0.1,0.316,0.3,0.1,0.0,22-23
1628382,0.4,0.0,0.1,0.333,0.0,0.0,0.1,0.2,0.3,0.1,0.0,22-23
1631303,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,22-23
1626159,3.7,0.5,1.5,0.341,0.1,0.3,1.2,0.321,1.6,0.4,0.4,22-23
203994,0.8,0.3,0.5,0.625,0.1,0.2,0.7,0.927,0.2,0.0,0.1,22-23
1630231,2.1,0.6,1.0,0.571,0.3,0.4,1.5,0.701,0.7,0.1,0.1,22-23
1629644,0.6,0.1,0.2,0.333,0.1,0.1,0.2,0.273,0.4,0.1,0.0,22-23
1630539,0.8,0.2,0.5,0.455,0.1,0.2,0.6,0.692,0.2,0.0,0.1,22-23
1626157,7.3,1.9,3.6,0.52,1.6,1.9,5.6,0.775,1.8,0.4,0.4,22-23
202695,10.9,2.6,4.5,0.581,1.3,1.6,6.9,0.631,4.9,0.9,0.4,22-23
1631099,2.3,0.5,1.1,0.494,0.2,0.2,1.3,0.561,0.8,0.2,0.2,22-23
1628966,3.2,0.8,1.7,0.441,0.4,0.6,2.1,0.66,0.9,0.3,0.2,22-23
1629640,12.6,3.5,7.2,0.492,1.9,2.6,9.3,0.74,3.1,0.6,0.7,22-23
203482,5.0,1.0,1.9,0.542,0.8,0.9,3.1,0.621,1.9,0.6,0.5,22-23
1626162,7.2,2.3,4.9,0.462,1.0,1.6,5.9,0.812,0.9,0.2,0.4,22-23
202689,5.3,1.3,2.2,0.6,1.0,1.3,3.8,0.708,2.2,0.6,0.1,22-23
1631112,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,22-23
1629134,3.6,0.7,1.7,0.433,0.2,0.2,1.7,0.472,1.4,0.4,0.3,22-23
1631113,2.1,0.4,1.1,0.359,0.0,0.1,0.8,0.368,0.9,0.4,0.1,22-23
1631254,0.8,0.3,0.4,0.667,0.1,0.2,0.6,0.778,0.2,0.1,0.0,22-23
1629026,2.6,0.4,0.9,0.426,0.1,0.2,0.8,0.319,1.4,0.3,0.2,22-23
203484,1.9,0.4,0.8,0.466,0.2,0.3,1.0,0.524,0.8,0.2,0.2,22-23
1631165,0.6,0.1,0.2,0.333,0.0,0.0,0.1,0.222,0.4,0.2,0.0,22-23
1630553,3.0,0.6,1.3,0.442,0.5,0.7,1.6,0.551,1.1,0.3,0.3,22-23
1630556,0.5,0.1,0.2,0.375,0.0,0.0,0.2,0.353,0.2,0.1,0.0,22-23
201142,8.8,3.2,5.1,0.63,1.6,1.7,8.3,0.937,2.2,0.6,0.6,22-23
1628989,4.3,1.0,1.9,0.514,0.3,0.4,2.3,0.526,1.8,0.5,0.3,22-23
1628995,1.6,0.4,0.9,0.444,0.3,0.3,1.1,0.677,0.4,0.1,0.1,22-23
201567,0.8,0.1,0.3,0.45,0.1,0.1,0.4,0.553,0.3,0.0,0.0,22-23
1629645,14.1,2.3,5.3,0.442,1.6,2.0,6.5,0.46,6.6,1.6,0.9,22-23
1630284,2.2,0.3,0.7,0.4,0.2,0.3,0.8,0.373,0.9,0.1,0.3,22-23
1626172,0.5,0.1,0.2,0.529,0.1,0.1,0.4,0.784,0.1,0.0,0.0,22-23
203920,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,22-23
203114,6.4,1.5,2.9,0.5,0.8,0.8,3.8,0.597,2.5,0.8,0.4,22-23
1630165,8.9,1.7,4.2,0.405,0.5,0.6,3.9,0.438,3.7,1.1,0.5,22-23
1630184,2.2,0.4,1.1,0.321,0.3,0.3,1.0,0.473,0.8,0.1,0.0,22-23
202691,5.7,1.0,2.2,0.436,0.3,0.4,2.3,0.406,2.7,0.8,0.4,22-23
1628424,0.8,0.0,0.2,0.0,0.4,0.4,0.4,0.5,0.4,0.4,0.0,22-23
1627739,12.0,3.6,6.6,0.545,1.1,1.4,8.5,0.715,4.0,1.2,0.4,22-23
204001,3.3,1.1,2.0,0.565,0.7,0.8,3.1,0.926,0.6,0.1,0.3,22-23
203937,6.9,1.6,3.3,0.505,0.6,0.8,4.0,0.576,2.7,0.9,0.3,22-23
