PLAYER_ID,PASSES_MADE,PASSES_RECEIVED,SECONDARY_AST,POTENTIAL_AST,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON
203932,32.9,34.0,0.6,5.7,4.0,0.098,0.123,20-21
1628988,15.5,20.5,0.3,3.3,2.4,0.121,0.158,20-21
1630174,11.7,9.0,0.1,1.0,0.6,0.043,0.052,20-21
1627846,9.4,11.3,0.0,1.1,0.9,0.084,0.097,20-21
1629690,2.4,3.1,0.1,0.6,0.4,0.152,0.182,20-21
201143,38.5,39.7,0.1,5.2,3.8,0.087,0.097,20-21
202329,23.8,13.8,0.2,3.0,1.7,0.057,0.071,20-21
202692,25.3,28.6,0.3,3.3,2.6,0.086,0.103,20-21
1630197,29.1,26.2,0.4,3.9,2.7,0.074,0.094,20-21
1629346,6.9,4.5,0.0,0.7,0.3,0.039,0.039,20-21
1627936,35.2,32.1,0.4,5.5,3.5,0.078,0.099,20-21
203458,15.8,11.8,0.1,1.4,1.0,0.049,0.061,20-21
1628035,5.3,4.7,0.1,0.2,0.2,0.029,0.039,20-21
1628993,10.8,7.3,0.0,1.3,0.8,0.072,0.077,20-21
1628578,6.2,4.8,0.0,0.4,0.2,0.032,0.032,20-21
1629599,7.3,8.0,0.0,1.2,0.6,0.069,0.087,20-21
2760,11.8,7.0,0.2,1.2,0.8,0.051,0.068,20-21
203083,34.8,28.1,0.3,3.4,2.5,0.059,0.071,20-21
2738,29.3,21.8,0.1,4.7,2.8,0.077,0.096,20-21
203460,13.2,6.6,0.0,1.2,0.8,0.061,0.061,20-21
203952,28.5,36.4,0.6,4.8,3.0,0.083,0.104,20-21
1629014,20.3,21.1,0.1,2.8,1.6,0.069,0.077,20-21
203076,38.3,41.9,0.5,5.5,3.8,0.08,0.1,20-21
1630162,32.0,40.4,0.4,6.3,3.7,0.092,0.117,20-21
1630264,8.3,6.0,0.1,0.7,0.6,0.051,0.074,20-21
1630237,19.2,15.6,0.4,3.0,1.5,0.05,0.08,20-21
201229,6.5,5.8,0.2,0.5,0.5,0.028,0.07,20-21
1628394,15.0,14.0,0.0,1.0,0.0,0.067,0.0,20-21
1629717,25.2,30.0,0.6,3.6,2.3,0.06,0.089,20-21
203382,20.5,15.8,0.0,1.5,0.9,0.043,0.046,20-21
1630204,1.0,1.5,0.0,0.0,0.0,0.0,0.0,20-21
203085,24.0,26.2,0.3,4.3,2.9,0.094,0.119,20-21
202340,21.2,23.1,0.3,3.6,2.3,0.08,0.108,20-21
1626253,6.0,4.5,0.0,0.6,0.5,0.083,0.083,20-21
1628389,44.6,47.2,0.3,9.9,6.1,0.121,0.136,20-21
203463,14.2,15.6,0.1,1.3,0.8,0.052,0.058,20-21
1627732,64.1,65.8,0.6,12.7,8.1,0.108,0.127,20-21
202687,20.0,15.2,0.2,1.8,1.5,0.062,0.074,20-21
201933,34.5,31.6,0.2,5.2,3.4,0.088,0.098,20-21
1626246,9.0,6.9,0.1,0.7,0.4,0.034,0.047,20-21
1626171,23.7,16.1,0.2,2.0,1.3,0.045,0.056,20-21
203992,31.0,35.5,0.5,6.5,4.3,0.108,0.139,20-21
202711,24.1,30.5,0.3,3.3,2.3,0.078,0.095,20-21
1629626,3.8,3.9,0.0,0.3,0.2,0.058,0.058,20-21
202954,28.7,30.2,0.3,5.0,3.4,0.099,0.117,20-21
203078,37.8,53.5,0.6,8.5,5.5,0.117,0.146,20-21
1629634,20.3,18.8,0.3,2.4,2.0,0.079,0.097,20-21
1629164,22.7,25.4,0.2,3.9,2.4,0.089,0.108,20-21
1627742,37.8,49.1,0.9,8.9,6.2,0.128,0.164,20-21
1628968,1.8,1.0,0.2,0.0,0.2,0.0,0.091,20-21
1630271,12.7,12.5,0.2,2.1,1.2,0.074,0.096,20-21
201572,17.0,17.4,0.1,1.2,0.8,0.042,0.049,20-21
1628971,21.5,17.5,0.2,2.8,1.9,0.074,0.087,20-21
203998,8.5,7.0,0.0,0.7,0.3,0.02,0.039,20-21
