PLAYER_ID,PASSES_MADE,PASSES_RECEIVED,SECONDARY_AST,POTENTIAL_AST,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON
201985,22.8,26.9,0.2,4.3,2.2,0.078,0.098,14-15
201166,38.7,47.7,0.6,7.5,4.2,0.082,0.109,14-15
203932,16.3,11.8,0.1,1.6,0.9,0.043,0.055,14-15
203940,29.6,18.9,0.0,2.6,1.1,0.032,0.038,14-15
201143,42.4,39.5,0.4,5.5,3.8,0.076,0.089,14-15
2744,21.3,30.1,0.5,3.7,2.5,0.082,0.118,14-15
202329,18.5,12.6,0.1,1.8,0.9,0.043,0.051,14-15
101187,17.2,17.7,0.1,2.4,1.5,0.065,0.087,14-15
202692,47.7,55.0,0.4,6.9,4.0,0.064,0.085,14-15
203945,2.8,3.0,0.0,0.2,0.2,0.071,0.071,14-15
203458,23.6,12.9,0.0,1.3,0.6,0.02,0.024,14-15
203144,28.8,35.7,0.2,6.3,3.1,0.088,0.107,14-15
201582,13.1,10.7,0.0,1.4,0.8,0.053,0.063,14-15
203459,12.0,9.9,0.0,1.5,0.8,0.064,0.067,14-15
202087,8.9,8.8,0.1,1.2,0.7,0.052,0.075,14-15
2405,23.2,18.9,0.1,1.7,0.9,0.033,0.038,14-15
101161,33.4,23.6,0.1,3.0,1.9,0.047,0.057,14-15
2760,28.2,21.0,0.2,2.4,1.7,0.048,0.059,14-15
203958,3.8,4.5,0.0,0.3,0.3,0.067,0.067,14-15
203083,16.0,16.5,0.1,1.3,0.9,0.042,0.055,14-15
2738,33.2,33.2,0.3,5.7,3.4,0.089,0.101,14-15
1889,31.8,34.1,0.2,7.1,4.1,0.11,0.13,14-15
203460,16.8,13.6,0.2,1.9,1.2,0.062,0.072,14-15
200745,31.2,34.7,0.2,3.6,1.9,0.051,0.06,14-15
1905,4.9,3.1,0.0,0.1,0.1,0.029,0.029,14-15
101106,32.5,22.5,0.3,5.0,3.3,0.083,0.101,14-15
203094,14.6,11.7,0.0,1.2,0.6,0.038,0.039,14-15
203952,23.6,32.8,0.3,4.8,2.6,0.089,0.108,14-15
203461,24.0,13.7,0.1,1.6,1.1,0.036,0.046,14-15
203076,35.2,37.0,0.2,4.0,2.6,0.062,0.074,14-15
201627,14.1,17.9,0.1,1.5,0.9,0.057,0.067,14-15
201229,23.1,14.6,0.2,1.6,1.1,0.034,0.05,14-15
203462,18.3,19.8,0.1,2.5,1.3,0.059,0.069,14-15
202620,8.0,5.8,0.0,1.0,0.7,0.083,0.083,14-15
203382,14.4,11.8,0.1,1.2,0.7,0.035,0.049,14-15
201167,23.0,30.1,0.5,4.1,2.3,0.072,0.101,14-15
201948,12.4,11.2,0.1,0.9,0.6,0.04,0.05,14-15
203085,24.6,29.0,0.1,4.5,2.3,0.083,0.093,14-15
202340,22.6,32.5,0.3,3.8,2.2,0.078,0.099,14-15
2732,9.5,14.6,0.2,1.9,1.3,0.094,0.131,14-15
203463,26.2,28.9,0.3,3.0,2.2,0.065,0.083,14-15
2757,37.0,40.2,0.6,6.3,3.7,0.075,0.101,14-15
203108,6.6,5.2,0.0,0.6,0.3,0.038,0.038,14-15
202687,8.0,6.2,0.0,0.7,0.3,0.031,0.041,14-15
201933,55.6,57.3,0.5,9.8,6.1,0.095,0.111,14-15
202711,14.6,17.3,0.1,2.0,1.1,0.06,0.078,14-15
2564,42.3,33.2,0.3,5.8,3.6,0.068,0.085,14-15
203078,36.9,45.8,0.5,6.3,4.0,0.083,0.109,14-15
201148,17.0,13.0,0.1,1.4,0.7,0.032,0.041,14-15
101138,24.9,22.6,0.2,3.0,1.5,0.051,0.061,14-15
203561,23.9,17.6,0.0,2.7,1.3,0.047,0.054,14-15
201943,54.6,67.3,1.0,13.3,8.3,0.122,0.152,14-15
202688,52.3,63.3,0.6,10.8,6.4,0.1,0.122,14-15
201575,8.2,7.8,0.0,0.8,0.4,0.044,0.044,14-15
2217,3.8,3.5,0.0,0.3,0.1,0.024,0.024,14-15
203148,32.5,37.1,0.4,4.6,2.8,0.069,0.087,14-15
201572,21.1,24.0,0.2,1.9,1.0,0.033,0.046,14-15
203998,2.3,3.6,0.0,0.1,0.0,0.0,0.0,14-15
203955,19.2,23.9,0.3,2.9,1.5,0.052,0.08,14-15
201228,45.8,51.1,0.6,7.7,4.4,0.08,0.096,14-15
203912,3.8,5.3,0.0,0.7,0.5,0.1,0.125,14-15
203468,15.0,17.3,0.2,2.2,1.3,0.069,0.085,14-15
101139,21.0,27.8,0.2,2.5,1.4,0.051,0.068,14-15
203946,3.7,2.7,0.0,0.4,0.1,0.015,0.015,14-15
201171,15.9,13.5,0.1,0.9,0.5,0.023,0.031,14-15
2430,29.2,22.5,0.2,3.0,1.7,0.046,0.057,14-15
2546,42.5,52.3,0.3,6.0,3.6,0.072,0.084,14-15
2406,24.0,16.1,0.1,2.1,1.3,0.042,0.052,14-15
201858,6.4,6.4,0.1,0.8,0.5,0.075,0.082,14-15
202718,38.7,36.8,0.5,5.6,3.2,0.063,0.083,14-15
101112,40.6,25.0,0.1,2.5,1.5,0.031,0.038,14-15
101111,13.0,11.5,0.1,0.5,0.4,0.023,0.032,14-15
201978,17.9,16.0,0.2,2.4,1.3,0.054,0.073,14-15
2365,17.7,11.5,0.1,1.4,0.9,0.04,0.053,14-15
2547,41.8,46.6,0.2,4.3,2.7,0.052,0.064,14-15
203142,14.1,16.8,0.1,2.2,1.2,0.073,0.088,14-15
201604,5.3,5.3,0.0,0.7,0.3,0.063,0.063,14-15
203187,14.8,16.8,0.1,1.7,1.0,0.035,0.065,14-15
2549,20.3,15.3,0.1,2.1,1.1,0.043,0.053,14-15
101108,70.6,81.3,1.5,20.1,12.8,0.145,0.181,14-15
101236,8.1,5.3,0.0,1.0,0.8,0.085,0.093,14-15
203921,22.6,20.8,0.3,1.9,1.2,0.041,0.053,14-15
203991,7.7,4.8,0.0,0.4,0.3,0.022,0.033,14-15
203469,41.6,24.1,0.2,2.8,1.9,0.039,0.045,14-15
202332,26.7,15.2,0.1,2.9,1.4,0.046,0.053,14-15
201147,22.8,27.6,0.3,4.4,2.8,0.095,0.124,14-15
203928,12.5,6.9,0.0,0.7,0.4,0.026,0.03,14-15
202709,33.1,36.3,0.5,4.8,3.0,0.072,0.09,14-15
201584,30.0,32.6,0.4,3.9,2.6,0.065,0.086,14-15
201571,41.1,50.2,0.6,9.7,5.4,0.105,0.131,14-15
2563,2.2,2.7,0.1,0.4,0.1,0.028,0.056,14-15
203081,62.1,73.4,0.8,13.2,7.4,0.1,0.12,14-15
204014,13.0,13.7,0.1,2.0,1.0,0.06,0.078,14-15
201568,21.5,22.4,0.2,3.4,1.9,0.065,0.087,14-15
101122,16.1,15.9,0.0,2.2,0.7,0.034,0.041,14-15
201980,35.1,35.3,0.5,3.7,2.6,0.056,0.074,14-15
201967,21.6,13.3,0.1,1.5,0.9,0.035,0.042,14-15
203957,36.4,40.8,0.3,5.2,3.0,0.066,0.082,14-15
203121,4.6,4.0,0.0,0.2,0.4,0.087,0.087,14-15
202721,13.4,15.7,0.1,3.3,1.6,0.094,0.118,14-15
201589,17.0,15.1,0.1,2.3,1.2,0.058,0.071,14-15
201954,64.5,73.1,0.5,11.1,6.8,0.087,0.105,14-15
101135,29.5,23.3,0.3,3.6,2.3,0.059,0.077,14-15
204065,21.3,22.3,0.3,7.0,4.7,0.141,0.219,14-15
204033,4.5,3.5,0.0,1.0,0.5,0.111,0.111,14-15
2561,45.4,37.6,0.2,7.1,4.0,0.074,0.089,14-15
201599,39.0,16.3,0.2,1.3,1.0,0.019,0.027,14-15
