PLAYER_ID,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_PTS,PULL_UP_EFG_PCT,SEASON
203471,0.3,1.2,0.259,0.3,0.6,0.267,13-14
965,0.6,1.6,0.398,0.7,1.5,0.488,13-14
101114,1.8,4.3,0.416,1.5,4.0,0.465,13-14
202324,0.3,0.7,0.49,,0.7,0.49,13-14
201565,1.2,4.9,0.245,1.9,2.8,0.286,13-14
202682,0.4,1.2,0.333,0.2,0.9,0.354,13-14
2734,0.6,2.0,0.316,1.1,1.5,0.38,13-14
203473,0.1,0.1,0.5,,0.1,0.5,13-14
202354,0.0,0.0,,,0.0,,13-14
203197,0.4,1.2,0.287,0.2,0.8,0.31,13-14
203079,2.2,5.6,0.39,1.0,4.6,0.412,13-14
202091,0.1,0.5,0.133,0.2,0.1,0.133,13-14
1717,2.5,5.1,0.493,0.2,5.2,0.504,13-14
202388,0.2,0.6,0.393,0.2,0.5,0.429,13-14
202700,0.0,0.1,0.333,0.0,0.1,0.333,13-14
2748,0.3,0.8,0.298,0.3,0.6,0.333,13-14
203117,0.3,0.8,0.45,0.1,0.8,0.5,13-14
203110,0.2,0.5,0.395,0.1,0.5,0.453,13-14
2400,0.2,0.4,0.444,0.0,0.4,0.5,13-14
202779,0.2,1.5,0.143,0.5,0.4,0.143,13-14
2730,0.0,0.1,0.0,0.0,0.0,0.0,13-14
2548,2.1,4.8,0.447,0.2,4.3,0.451,13-14
202734,0.7,1.6,0.419,0.3,1.5,0.453,13-14
201947,0.2,0.9,0.277,0.1,0.5,0.287,13-14
2248,0.0,0.0,,0.0,0.0,,13-14
202334,0.1,0.2,0.364,,0.1,0.364,13-14
202327,0.2,0.4,0.533,,0.4,0.533,13-14
203548,0.0,0.0,,,0.0,,13-14
202343,0.3,0.8,0.346,0.4,0.7,0.423,13-14
1882,0.2,0.4,0.379,0.0,0.3,0.379,13-14
202683,0.2,0.5,0.462,0.0,0.5,0.462,13-14
202339,2.0,5.2,0.388,1.7,4.7,0.453,13-14
201569,1.2,3.5,0.356,1.1,2.8,0.396,13-14
201953,0.3,1.4,0.238,0.2,0.6,0.238,13-14
203513,0.0,0.1,0.0,0.0,0.0,0.0,13-14
101141,0.4,1.2,0.338,0.2,0.9,0.346,13-14
203095,0.5,1.5,0.33,0.6,1.2,0.391,13-14
202323,1.7,4.2,0.394,0.3,3.4,0.397,13-14
101128,0.2,0.7,0.297,0.2,0.5,0.351,13-14
203539,0.2,0.7,0.304,0.2,0.5,0.304,13-14
202066,0.3,0.8,0.322,0.1,0.5,0.347,13-14
202390,1.7,4.3,0.398,1.4,3.9,0.459,13-14
201588,0.8,2.7,0.301,0.9,1.9,0.342,13-14
101123,1.7,4.3,0.406,1.5,4.1,0.477,13-14
201945,2.1,5.4,0.396,0.2,4.3,0.403,13-14
2222,0.0,0.2,0.071,0.1,0.1,0.107,13-14
203507,0.2,0.8,0.3,0.3,0.6,0.392,13-14
203540,0.3,0.7,0.391,0.1,0.5,0.391,13-14
201175,0.3,0.9,0.344,0.0,0.6,0.352,13-14
203318,0.1,0.6,0.143,0.2,0.3,0.214,13-14
201609,2.3,5.3,0.422,1.8,5.3,0.495,13-14
202330,1.8,4.4,0.4,0.8,3.8,0.425,13-14
203476,0.1,0.3,0.438,0.0,0.3,0.469,13-14
202328,0.1,0.3,0.429,0.0,0.2,0.429,13-14
201141,0.0,0.1,0.0,,0.0,0.0,13-14
202962,0.0,0.0,,,0.0,,13-14
201880,0.0,0.0,0.5,0.0,0.0,0.5,13-14
202349,1.0,2.3,0.433,0.8,2.2,0.492,13-14
202970,0.0,0.0,0.0,,0.0,0.0,13-14
202380,0.0,0.0,,,0.0,,13-14
203084,0.6,2.1,0.294,0.2,1.3,0.304,13-14
201934,0.0,0.0,,,0.0,,13-14
2045,0.3,0.9,0.278,0.3,0.7,0.347,13-14
203156,0.0,0.2,0.2,0.0,0.1,0.2,13-14
200756,0.1,0.3,0.25,,0.1,0.25,13-14
203138,0.2,0.5,0.324,0.1,0.4,0.365,13-14
203546,0.2,0.6,0.308,0.1,0.4,0.346,13-14
101133,0.0,0.0,,0.0,0.0,,13-14
202697,0.7,1.9,0.361,0.4,1.5,0.389,13-14
203477,0.3,1.0,0.261,0.8,0.7,0.348,13-14
202738,2.8,6.8,0.414,2.9,6.6,0.483,13-14
202397,0.4,1.0,0.375,0.1,0.8,0.382,13-14
200826,1.2,3.4,0.348,1.8,2.9,0.428,13-14
201581,0.2,0.8,0.259,0.0,0.4,0.259,13-14
200755,1.5,3.3,0.457,1.0,3.4,0.509,13-14
2747,1.9,5.4,0.348,1.7,4.1,0.383,13-14
201580,0.2,0.6,0.333,,0.4,0.333,13-14
203109,0.2,0.6,0.34,0.1,0.4,0.362,13-14
203479,0.1,0.5,0.273,0.0,0.3,0.318,13-14
2224,0.1,0.1,1.0,0.0,0.3,1.0,13-14
2037,2.7,6.4,0.423,2.0,6.2,0.481,13-14
2749,1.6,4.7,0.343,3.0,4.3,0.458,13-14
202341,0.5,1.6,0.331,0.8,1.3,0.396,13-14
201935,2.6,6.4,0.4,3.2,6.3,0.488,13-14
201949,0.2,0.7,0.237,0.3,0.4,0.25,13-14
2592,0.2,0.4,0.375,0.2,0.4,0.5,13-14
203263,0.0,0.7,0.0,0.2,0.0,0.0,13-14
203480,0.0,1.0,0.0,0.0,0.0,0.0,13-14
202686,0.0,0.1,0.25,,0.0,0.25,13-14
2457,1.1,2.3,0.471,0.9,2.5,0.529,13-14
