PLAYER_ID,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,SEASON
1628381,0.757,0.243,0.664,0.038,0.2,0.099,0.136,0.147,0.626,0.748,0.252,0.966,0.034,0.785,0.215,19-20
203089,0.789,0.211,0.787,0.009,0.109,0.023,0.104,0.172,0.778,0.77,0.23,1.0,0.0,0.789,0.211,19-20
1629723,0.73,0.27,0.704,0.037,0.278,0.185,0.018,0.278,0.667,0.684,0.316,0.6,0.4,0.667,0.333,19-20
1628405,0.933,0.067,0.714,0.0,0.107,0.0,0.179,0.214,0.714,0.7,0.3,1.0,0.0,0.727,0.273,19-20
1629140,0.941,0.059,0.844,0.089,0.0,0.022,0.156,0.133,0.756,0.579,0.421,0.0,0.0,0.579,0.421,19-20
1628413,0.636,0.364,0.8,0.0,0.0,0.4,0.2,0.6,0.8,0.5,0.5,0.0,0.0,0.5,0.5,19-20
202685,0.877,0.123,0.766,0.034,0.092,0.048,0.142,0.115,0.732,0.588,0.413,1.0,0.0,0.618,0.382,19-20
1628371,0.717,0.283,0.614,0.114,0.238,0.196,0.148,0.235,0.5,0.597,0.403,0.938,0.063,0.667,0.333,19-20
1628395,0.821,0.179,0.667,0.0,0.129,0.043,0.204,0.043,0.667,0.742,0.258,0.75,0.25,0.743,0.257,19-20
1629648,0.5,0.5,0.5,0.167,0.5,0.0,0.0,0.333,0.333,0.667,0.333,0.5,0.5,0.6,0.4,19-20
203903,0.524,0.476,0.449,0.035,0.423,0.097,0.128,0.138,0.414,0.256,0.744,0.77,0.23,0.454,0.546,19-20
1629162,0.573,0.427,0.507,0.017,0.38,0.157,0.113,0.17,0.489,0.328,0.672,0.759,0.241,0.471,0.529,19-20
203895,0.656,0.344,0.488,0.15,0.317,0.092,0.195,0.15,0.338,0.394,0.606,0.689,0.311,0.483,0.517,19-20
1629673,0.472,0.528,0.37,0.135,0.441,0.115,0.189,0.183,0.235,0.462,0.538,0.851,0.149,0.635,0.365,19-20
1627982,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,19-20
1628404,0.335,0.665,0.317,0.009,0.553,0.277,0.13,0.16,0.308,0.462,0.538,0.967,0.033,0.733,0.267,19-20
1628367,0.547,0.453,0.475,0.03,0.348,0.247,0.177,0.182,0.444,0.511,0.489,0.957,0.043,0.657,0.343,19-20
203705,0.733,0.267,0.667,0.0,0.25,0.167,0.083,0.5,0.667,0.0,1.0,1.0,0.0,0.2,0.8,19-20
1629006,0.613,0.387,0.484,0.004,0.231,0.143,0.285,0.173,0.48,0.55,0.45,0.927,0.073,0.641,0.359,19-20
1629729,0.778,0.222,0.75,0.0,0.0,0.0,0.25,0.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0,19-20
1626196,0.615,0.385,0.511,0.191,0.338,0.09,0.151,0.171,0.321,0.43,0.57,0.812,0.188,0.547,0.453,19-20
201950,0.656,0.344,0.576,0.043,0.314,0.147,0.11,0.136,0.533,0.31,0.69,0.574,0.426,0.38,0.62,19-20
1629308,0.635,0.365,0.609,0.0,0.348,0.116,0.043,0.217,0.609,0.476,0.524,1.0,0.0,0.621,0.379,19-20
1627823,0.478,0.522,0.389,0.007,0.458,0.118,0.153,0.153,0.382,0.679,0.321,0.977,0.023,0.81,0.19,19-20
203944,0.77,0.23,0.639,0.088,0.154,0.058,0.207,0.143,0.551,0.404,0.596,0.938,0.063,0.477,0.523,19-20
1626147,0.237,0.763,0.286,0.0,0.643,0.0,0.071,0.071,0.286,1.0,0.0,1.0,0.0,1.0,0.0,19-20
