PLAYER_ID,SEASON
203932,21-22
1630565,21-22
1628988,21-22
1630174,21-22
1630598,21-22
1627846,21-22
1630278,21-22
1629678,21-22
1629958,21-22
201143,21-22
202692,21-22
1630758,21-22
1630197,21-22
1627936,21-22
203458,21-22
1628035,21-22
1628993,21-22
1630578,21-22
1629599,21-22
203083,21-22
2738,21-22
203952,21-22
1629014,21-22
203076,21-22
1630162,21-22
1630264,21-22
1630237,21-22
1629717,21-22
1629083,21-22
1630559,21-22
203085,21-22
202340,21-22
1630245,21-22
1629168,21-22
1628389,21-22
203463,21-22
202687,21-22
201933,21-22
1626246,21-22
1626171,21-22
203992,21-22
202711,21-22
1629626,21-22
1630538,21-22
202954,21-22
203078,21-22
1630527,21-22
1629634,21-22
1629164,21-22
1627742,21-22
202688,21-22
1630314,21-22
1630296,21-22
1630271,21-22
201572,21-22
1628971,21-22
1628981,21-22
1627854,21-22
1627741,21-22
1629604,21-22
203468,21-22
101139,21-22
1630595,21-22
1628997,21-22
1629629,21-22
1630560,21-22
1629661,21-22
1630787,21-22
1628419,21-22
1626166,21-22
1627747,21-22
1630637,21-22
2546,21-22
1629035,21-22
1630199,21-22
1630216,21-22
1627760,21-22
1626224,21-22
1628990,21-22
1629646,21-22
1629718,21-22
1630602,21-22
1627767,21-22
1629002,21-22
1628449,21-22
1629185,21-22
1630537,21-22
101108,21-22
1629735,21-22
1626174,21-22
1629643,21-22
203991,21-22
1629632,21-22
1628998,21-22
203469,21-22
1630175,21-22
1629012,21-22
1630557,21-22
202709,21-22
1628591,21-22
1626156,21-22
201571,21-22
1628391,21-22
1629610,21-22
1630227,21-22
1629751,21-22
1630625,21-22
1627745,21-22
203081,21-22
1627814,21-22
1628422,21-22
1629655,21-22
1630187,21-22
1628464,21-22
201568,21-22
201980,21-22
1627863,21-22
1629647,21-22
1629636,21-22
201954,21-22
1630561,21-22
1630525,21-22
1628021,21-22
1630558,21-22
202722,21-22
1628432,21-22
1630549,21-22
