PLAYER_ID,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,SEASON
201166,0.6,0.2,0.6,2.7,5.2,4.2,4.6,13.8,15-16
203932,1.9,2.2,1.6,5.1,7.8,5.2,6.7,21.9,15-16
1626151,0.0,0.1,0.1,0.2,1.9,1.0,2.2,4.2,15-16
203940,0.4,0.3,0.2,1.1,4.0,2.9,3.1,10.3,15-16
201143,2.2,1.9,1.4,7.1,10.0,8.7,7.6,26.7,15-16
2744,1.7,0.8,0.3,6.9,6.0,5.5,5.7,20.4,15-16
202329,1.4,1.4,1.2,3.4,10.0,7.5,6.5,26.2,15-16
101187,0.5,0.8,0.7,0.9,3.4,2.8,2.9,9.5,15-16
1626210,0.0,1.0,0.0,1.8,2.0,1.9,2.8,7.6,15-16
202692,1.7,1.2,1.6,4.8,7.6,5.6,7.0,19.9,15-16
203458,1.2,1.8,0.4,5.1,10.0,6.3,8.0,20.6,15-16
1627293,0.5,1.8,0.3,2.0,2.5,2.1,4.9,7.5,15-16
201582,0.6,1.2,0.1,3.0,4.2,2.8,3.1,11.6,15-16
203459,2.0,1.3,1.5,2.1,8.7,6.9,6.1,21.6,15-16
202087,1.3,0.6,1.5,3.0,6.8,6.1,5.3,21.0,15-16
2405,0.9,1.2,0.2,4.0,4.7,3.3,4.1,13.0,15-16
101161,1.4,1.8,1.0,5.9,7.2,6.7,4.8,20.1,15-16
2760,0.2,0.4,0.1,1.5,3.3,2.6,2.3,7.6,15-16
203083,2.2,5.3,1.2,13.2,9.6,7.1,7.0,30.6,15-16
2738,1.9,0.7,1.8,2.9,9.5,7.8,7.9,25.1,15-16
1889,0.7,0.2,0.3,2.2,4.3,3.0,3.2,9.3,15-16
203460,0.9,0.9,1.2,3.0,7.8,6.4,5.4,20.3,15-16
200745,0.9,0.8,0.2,2.1,5.2,3.0,3.4,13.8,15-16
101106,0.6,1.3,0.4,4.9,6.9,5.5,5.8,17.6,15-16
202726,0.5,0.3,0.0,1.0,3.9,4.0,1.6,6.0,15-16
203094,1.0,0.7,0.2,3.1,4.3,4.0,3.2,12.1,15-16
203952,3.4,2.3,2.6,9.4,12.3,9.5,9.9,33.6,15-16
203461,0.3,0.4,0.0,0.5,1.8,0.3,1.5,3.8,15-16
1626148,0.7,0.6,0.5,0.6,6.1,5.0,6.7,19.7,15-16
203076,3.3,3.2,2.2,11.0,10.7,8.4,9.0,31.7,15-16
201627,0.8,0.8,0.4,0.8,5.1,4.0,3.9,13.4,15-16
201229,0.8,0.6,0.3,0.6,4.8,4.0,3.9,16.8,15-16
203462,1.5,0.8,2.1,4.8,8.7,5.4,7.7,18.8,15-16
203382,0.9,1.5,0.3,3.9,4.9,3.4,3.4,13.5,15-16
201167,1.3,0.9,1.1,3.7,10.1,8.9,8.9,30.6,15-16
203085,1.7,0.6,1.3,3.9,7.8,7.6,6.0,19.5,15-16
202340,3.6,1.6,3.4,4.7,10.1,10.7,7.4,29.7,15-16
1626253,0.4,0.1,0.7,0.9,5.4,4.2,3.9,14.3,15-16
203463,1.3,0.9,1.9,2.9,8.9,5.4,6.7,18.7,15-16
2757,0.6,0.3,0.4,1.5,5.0,3.4,2.9,12.7,15-16
202687,0.8,1.6,0.2,3.4,6.6,5.3,4.7,17.6,15-16
201933,3.0,2.4,2.8,10.0,9.8,8.4,7.6,28.1,15-16
1626246,1.0,1.9,0.1,3.3,3.3,1.9,3.0,7.6,15-16
1626171,0.8,1.6,0.8,3.8,5.9,4.9,5.0,16.4,15-16
