,MEAN,MEDIAN,STD,MIN,MAX
MIN,20.11229802513465,19.85,9.418291266266912,0.5,43.5
USG_PCT,0.1822113105924596,0.175,0.056184025234796486,0.0,0.571
TOUCHES,34.46842010771993,30.9,20.9015724921464,0.0,113.3
AGE,26.53375224416517,26.0,4.255955120933287,19.0,43.0
PLAYER_WEIGHT,218.475763016158,218.0,25.275430961871777,150.0,360.0
GP,48.69569120287253,55.0,24.37570740749663,1.0,82.0
