PLAYER_ID,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_AST,DRIVE_TOV,SEASON
1627773,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16-17
201166,4.2,0.7,1.7,0.43,0.2,0.3,1.7,0.404,1.4,0.5,0.3,16-17
203932,3.5,0.7,1.7,0.396,0.5,0.7,2.0,0.569,0.9,0.3,0.2,16-17
1626151,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,16-17
203940,0.9,0.2,0.4,0.429,0.2,0.2,0.6,0.588,0.4,0.0,0.1,16-17
201143,2.7,0.7,1.2,0.549,0.2,0.2,1.6,0.591,0.9,0.3,0.2,16-17
2744,0.1,0.0,0.1,0.4,0.0,0.0,0.1,0.5,0.0,0.0,0.0,16-17
202329,4.1,0.7,1.6,0.417,0.6,0.8,2.0,0.482,1.2,0.3,0.5,16-17
101187,1.8,0.4,0.8,0.478,0.2,0.3,1.0,0.574,0.5,0.2,0.2,16-17
1626210,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16-17
202692,3.2,0.7,1.9,0.397,0.5,0.7,2.1,0.667,0.6,0.1,0.3,16-17
203518,1.0,0.2,0.5,0.457,0.1,0.1,0.6,0.6,0.3,0.1,0.1,16-17
203458,0.3,0.1,0.1,0.364,0.2,0.2,0.3,0.885,0.0,0.0,0.0,16-17
1627816,3.2,0.8,1.7,0.5,0.7,1.0,2.3,0.737,1.0,0.0,0.0,16-17
201582,0.5,0.1,0.3,0.417,0.1,0.2,0.4,0.762,0.1,0.0,0.1,16-17
203459,2.3,0.4,1.0,0.434,0.3,0.3,1.1,0.489,0.7,0.2,0.2,16-17
202087,0.5,0.2,0.2,0.667,0.2,0.3,0.6,1.333,0.0,0.1,0.0,16-17
101161,0.6,0.2,0.4,0.552,0.0,0.0,0.4,0.795,0.1,0.0,0.1,16-17
2760,0.5,0.1,0.3,0.5,0.0,0.0,0.3,0.571,0.1,0.0,0.1,16-17
203083,0.9,0.2,0.5,0.349,0.1,0.2,0.5,0.513,0.1,0.0,0.1,16-17
2738,1.4,0.2,0.3,0.542,0.1,0.2,0.5,0.337,0.6,0.3,0.0,16-17
203460,1.2,0.2,0.5,0.475,0.1,0.2,0.6,0.459,0.4,0.1,0.1,16-17
