PLAYER_ID,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON
203932,2.4,1.3,1.1,4.2,4.65,3.76,19-20
1628988,1.8,1.0,0.9,4.2,4.42,3.98,19-20
1627846,1.2,0.6,0.6,4.32,4.55,4.09,19-20
1629690,0.8,0.4,0.4,4.24,4.44,4.06,19-20
1629678,0.8,0.4,0.4,4.19,4.59,3.8,19-20
201143,2.1,1.2,0.9,3.95,4.24,3.65,19-20
202329,1.7,0.9,0.7,4.39,4.87,3.93,19-20
202692,1.9,1.0,0.9,4.12,4.35,3.89,19-20
1629346,0.8,0.4,0.4,4.39,4.61,4.16,19-20
1627936,1.4,0.7,0.7,4.29,4.55,4.03,19-20
203458,1.3,0.7,0.6,4.16,4.46,3.85,19-20
1628035,1.1,0.6,0.5,4.41,4.58,4.24,19-20
1628993,0.5,0.3,0.2,4.51,4.75,4.36,19-20
203459,1.3,0.7,0.6,4.13,4.38,3.88,19-20
1629019,0.9,0.5,0.4,4.18,4.52,3.85,19-20
1628518,0.3,0.2,0.1,4.45,4.86,4.0,19-20
1629599,0.7,0.4,0.3,4.09,4.51,3.67,19-20
203083,2.3,1.2,1.1,3.86,3.97,3.74,19-20
2738,1.5,0.8,0.7,4.21,4.46,3.97,19-20
203460,1.0,0.5,0.5,4.4,4.32,4.47,19-20
203952,2.5,1.4,1.1,4.07,4.53,3.61,19-20
1629014,1.6,0.9,0.7,4.4,4.68,4.12,19-20
1627790,0.7,0.4,0.4,4.04,4.23,3.86,19-20
203076,2.3,1.2,1.1,3.73,3.86,3.59,19-20
201229,1.2,0.6,0.5,4.12,4.47,3.75,19-20
1628499,0.3,0.2,0.1,4.15,4.35,3.93,19-20
1628394,1.3,0.7,0.6,4.33,4.79,3.89,19-20
203382,1.6,0.8,0.7,3.95,4.18,3.71,19-20
203085,1.6,0.8,0.8,3.94,4.03,3.85,19-20
202340,1.9,0.9,0.9,4.36,4.44,4.29,19-20
1629168,0.7,0.4,0.3,4.42,4.95,3.92,19-20
1628389,2.4,1.3,1.1,4.02,4.21,3.82,19-20
203463,1.7,0.9,0.9,4.28,4.45,4.11,19-20
1627732,2.5,1.4,1.1,4.01,4.34,3.67,19-20
202687,1.4,0.8,0.7,4.17,4.41,3.92,19-20
201933,1.9,1.0,0.9,3.68,3.91,3.44,19-20
1626246,0.7,0.4,0.3,3.98,4.13,3.83,19-20
1626171,1.6,0.8,0.7,4.12,4.43,3.81,19-20
203992,2.2,1.2,1.0,4.3,4.72,3.87,19-20
202711,2.4,1.3,1.1,4.11,4.45,3.74,19-20
1629626,0.9,0.5,0.4,4.14,4.53,3.76,19-20
202954,1.4,0.8,0.6,4.04,4.46,3.63,19-20
203078,2.7,1.5,1.2,4.18,4.62,3.74,19-20
1629634,1.8,1.0,0.8,4.4,4.88,3.93,19-20
1629164,1.0,0.5,0.5,4.38,4.69,4.07,19-20
1627742,2.6,1.4,1.2,4.23,4.73,3.75,19-20
202688,1.4,0.8,0.6,4.15,4.54,3.73,19-20
1628968,0.4,0.2,0.2,4.35,4.53,4.52,19-20
201572,1.9,1.0,0.9,3.98,4.42,3.57,19-20
1628971,2.2,1.2,1.0,4.29,4.63,3.92,19-20
203998,0.6,0.3,0.3,4.49,4.99,4.01,19-20
1628981,1.0,0.5,0.5,4.27,4.51,4.02,19-20
1627854,1.9,1.1,0.9,4.35,4.82,3.86,19-20
1627741,2.5,1.3,1.1,4.46,4.79,4.14,19-20
203468,2.8,1.6,1.2,4.3,4.74,3.85,19-20
101139,1.1,0.6,0.5,3.94,4.34,3.58,19-20
1628997,1.4,0.8,0.7,4.51,4.9,4.11,19-20
1628403,0.8,0.4,0.4,4.36,4.57,4.11,19-20
1629629,2.1,1.1,1.0,4.38,4.59,4.19,19-20
1629661,1.7,0.9,0.8,4.4,4.87,3.95,19-20
1626166,1.8,1.0,0.8,4.46,4.85,4.08,19-20
1627747,2.1,1.2,1.0,4.11,4.51,3.7,19-20
2546,2.1,1.1,1.0,3.64,3.77,3.49,19-20
1629035,0.7,0.4,0.3,4.36,4.54,4.18,19-20
1626224,2.2,1.2,1.0,4.16,4.32,3.99,19-20
1628990,1.5,0.8,0.7,4.45,4.82,4.08,19-20
202718,0.8,0.4,0.4,4.08,4.58,3.61,19-20
1629718,0.3,0.1,0.1,4.46,4.82,4.14,19-20
1626184,1.1,0.6,0.5,4.68,4.94,4.15,19-20
1627767,0.8,0.4,0.3,4.25,4.64,3.87,19-20
1629002,0.4,0.2,0.2,4.28,4.67,3.89,19-20
1628449,1.0,0.5,0.5,4.09,4.34,3.85,19-20
1629185,1.1,0.6,0.5,4.25,4.67,3.86,19-20
1629598,0.6,0.3,0.3,4.22,4.56,3.9,19-20
101108,2.1,1.2,0.9,3.73,4.17,3.28,19-20
1629735,0.6,0.3,0.3,4.31,4.51,4.13,19-20
1626174,1.6,0.9,0.7,4.15,4.51,3.79,19-20
203991,2.4,1.3,1.1,4.15,4.57,3.76,19-20
1629632,2.0,1.0,0.9,4.27,4.55,3.99,19-20
1628998,1.5,0.8,0.7,4.56,4.85,4.25,19-20
203469,1.8,1.0,0.8,4.36,4.74,3.96,19-20
1629012,2.4,1.4,1.1,4.13,4.48,3.75,19-20
201147,0.5,0.3,0.3,4.46,4.55,4.36,19-20
202709,1.9,1.0,0.9,4.37,4.62,4.12,19-20
201584,1.1,0.6,0.5,4.18,4.26,4.09,19-20
1626245,1.3,0.7,0.6,4.25,4.38,4.08,19-20
1626156,2.4,1.3,1.1,4.13,4.59,3.7,19-20
201571,1.8,1.0,0.8,4.12,4.58,3.63,19-20
1628391,0.7,0.4,0.3,4.36,4.7,3.99,19-20
1629610,0.9,0.5,0.4,4.41,4.8,4.03,19-20
1627745,1.2,0.6,0.6,4.28,4.51,4.06,19-20
203081,2.7,1.5,1.2,4.01,4.42,3.58,19-20
1627814,2.4,1.3,1.1,4.61,5.14,4.1,19-20
1628422,1.3,0.7,0.6,4.14,4.44,3.83,19-20
1629655,1.1,0.6,0.5,4.32,4.48,4.16,19-20
1628464,1.7,0.9,0.8,4.07,4.27,3.88,19-20
201568,2.1,1.2,0.9,3.9,4.33,3.47,19-20
201980,2.0,1.1,0.9,4.52,4.82,4.23,19-20
203957,1.1,0.6,0.5,4.36,4.62,4.09,19-20
1627863,2.3,1.1,1.1,4.23,4.41,4.06,19-20
203967,1.9,1.0,0.9,4.34,4.71,3.97,19-20
1629647,1.4,0.7,0.6,4.19,4.44,3.95,19-20
