PLAYER_ID,OREB_CHANCE_PCT,DREB_CHANCE_PCT,REB_CHANCE_PCT_ADJ,SEASON
201166,0.438,0.5,0.531,17-18
203932,0.335,0.642,0.611,17-18
1626151,0.667,0.556,0.6,17-18
1628935,0.4,0.5,0.429,17-18
1627846,0.31,0.682,0.612,17-18
203940,0.4,0.636,0.563,17-18
201143,0.388,0.625,0.606,17-18
2744,0.313,0.608,0.556,17-18
202329,0.372,0.637,0.624,17-18
1626210,0.15,0.613,0.458,17-18
202692,0.202,0.625,0.573,17-18
1628409,0.381,0.69,0.661,17-18
203518,0.379,0.489,0.498,17-18
1627936,0.366,0.568,0.575,17-18
203458,0.417,0.583,0.559,17-18
1627816,0.318,0.625,0.472,17-18
1628035,0.5,0.545,0.7,17-18
203459,0.194,0.63,0.572,17-18
101161,0.424,0.505,0.526,17-18
203083,0.48,0.684,0.649,17-18
2738,0.373,0.531,0.539,17-18
201281,1.0,0.714,0.857,17-18
203460,0.407,0.523,0.506,17-18
101106,0.5,0.642,0.661,17-18
1626150,0.19,0.507,0.431,17-18
1628510,0.222,0.549,0.5,17-18
203952,0.273,0.529,0.467,17-18
1627790,0.429,0.537,0.541,17-18
203076,0.433,0.646,0.62,17-18
201229,0.382,0.454,0.484,17-18
1628469,0.308,0.5,0.492,17-18
1628499,0.25,0.579,0.483,17-18
203382,0.388,0.535,0.533,17-18
201167,0.118,0.61,0.533,17-18
203085,0.213,0.444,0.418,17-18
202340,0.206,0.556,0.468,17-18
1628389,0.411,0.625,0.594,17-18
203463,0.315,0.533,0.511,17-18
1628500,0.0,0.5,0.5,17-18
1627732,0.351,0.659,0.616,17-18
202687,0.378,0.557,0.525,17-18
201933,0.271,0.594,0.549,17-18
1626246,0.44,0.628,0.605,17-18
201628,0.0,0.636,0.636,17-18
1626171,0.433,0.625,0.591,17-18
203992,0.225,0.526,0.497,17-18
202711,0.194,0.608,0.54,17-18
203078,0.24,0.58,0.504,17-18
201148,0.508,0.517,0.559,17-18
1627742,0.273,0.616,0.536,17-18
201943,0.333,0.553,0.525,17-18
203464,0.182,0.521,0.504,17-18
1627362,0.364,0.628,0.565,17-18
1627744,0.364,0.778,0.674,17-18
201572,0.462,0.502,0.536,17-18
203998,0.35,0.484,0.512,17-18
1627854,0.245,0.495,0.489,17-18
1627741,0.311,0.575,0.538,17-18
203710,0.308,0.5,0.487,17-18
203468,0.225,0.571,0.49,17-18
101139,0.254,0.596,0.551,17-18
1628403,0.273,0.609,0.5,17-18
1626166,0.269,0.554,0.474,17-18
1627747,0.242,0.596,0.498,17-18
2546,0.302,0.568,0.557,17-18
1626224,0.226,0.697,0.615,17-18
202718,0.246,0.585,0.545,17-18
101112,0.364,0.542,0.592,17-18
1628429,0.0,1.0,1.0,17-18
1627767,0.32,0.612,0.557,17-18
1627778,0.167,0.429,0.333,17-18
1628449,0.0,1.0,1.0,17-18
1626191,0.35,0.667,0.61,17-18
101108,0.306,0.545,0.547,17-18
203991,0.473,0.655,0.624,17-18
203469,0.36,0.57,0.49,17-18
202332,0.214,0.8,0.625,17-18
201147,0.309,0.572,0.502,17-18
