PLAYER_ID,PASSES_MADE,PASSES_RECEIVED,SECONDARY_AST,POTENTIAL_AST,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON
101108,64.7,71.8,1.0,17.3,11.3,0.143,0.174,16-17
1626174,6.8,4.6,0.1,0.5,0.2,0.022,0.034,16-17
203991,32.0,20.9,0.3,2.0,1.3,0.03,0.041,16-17
203469,19.3,20.9,0.2,3.9,2.1,0.083,0.11,16-17
202332,9.6,5.2,0.1,0.9,0.6,0.042,0.059,16-17
201147,11.6,11.5,0.1,2.2,1.4,0.102,0.122,16-17
202709,40.3,44.5,0.4,7.3,4.0,0.082,0.099,16-17
201584,30.9,35.7,0.3,4.8,2.9,0.075,0.093,16-17
1626245,16.3,11.3,0.1,1.4,0.8,0.037,0.047,16-17
1626156,49.6,57.4,0.5,9.7,5.8,0.097,0.117,16-17
201571,32.7,39.2,0.4,5.9,3.4,0.082,0.103,16-17
2563,18.0,24.0,0.0,2.0,1.0,0.056,0.056,16-17
1627745,8.6,5.9,0.0,0.7,0.1,0.0,0.012,16-17
203081,58.1,73.5,0.7,11.9,7.3,0.101,0.125,16-17
204014,8.9,7.5,0.0,1.2,0.5,0.05,0.057,16-17
1627849,3.5,2.6,0.0,0.2,0.2,0.045,0.045,16-17
201568,31.1,32.9,0.4,4.3,2.7,0.068,0.087,16-17
201980,30.4,26.4,0.2,3.3,2.3,0.061,0.076,16-17
201967,20.8,14.1,0.1,1.3,0.8,0.027,0.036,16-17
203957,24.1,27.8,0.2,3.3,2.2,0.07,0.093,16-17
1627863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16-17
203967,42.7,39.8,0.3,4.4,2.8,0.053,0.066,16-17
201589,18.1,15.6,0.1,1.9,1.3,0.057,0.073,16-17
201954,60.1,66.7,0.8,10.0,5.9,0.076,0.098,16-17
1626199,9.1,11.7,0.1,1.8,1.0,0.093,0.11,16-17
101135,26.7,19.7,0.1,2.9,1.9,0.06,0.071,16-17
1628021,11.8,13.0,0.2,1.7,1.1,0.06,0.089,16-17
2561,19.1,16.9,0.2,4.1,2.6,0.116,0.136,16-17
202722,14.4,11.4,0.1,1.3,0.8,0.049,0.054,16-17
201599,40.1,22.0,0.1,2.3,1.4,0.03,0.035,16-17
202732,13.2,12.3,0.1,1.9,1.1,0.066,0.083,16-17
1627761,9.9,10.3,0.0,1.8,0.8,0.074,0.082,16-17
201942,34.7,54.2,0.7,8.4,4.8,0.114,0.14,16-17
202326,49.0,57.2,0.3,8.6,5.3,0.094,0.108,16-17
201960,20.4,18.6,0.1,2.1,1.2,0.051,0.057,16-17
1627749,14.6,16.6,0.0,2.1,1.3,0.087,0.092,16-17
1626153,26.4,28.6,0.3,4.7,2.4,0.08,0.093,16-17
1627743,3.6,4.4,0.0,0.8,0.6,0.167,0.167,16-17
203471,59.0,71.9,0.7,12.3,7.6,0.107,0.13,16-17
1627756,13.8,15.6,0.1,2.1,1.4,0.08,0.099,16-17
101114,51.4,57.3,0.7,10.8,6.5,0.107,0.127,16-17
202324,30.9,25.8,0.1,2.1,1.4,0.036,0.045,16-17
1627884,10.9,9.9,0.2,1.0,0.6,0.034,0.052,16-17
201565,57.0,68.9,0.7,10.0,5.3,0.078,0.094,16-17
202682,18.2,13.3,0.1,1.2,0.7,0.031,0.038,16-17
1626164,32.1,50.5,0.4,7.6,4.4,0.108,0.137,16-17
2734,20.9,23.3,0.2,4.1,2.5,0.102,0.117,16-17
203473,18.5,11.0,0.1,1.3,0.7,0.031,0.038,16-17
1627738,5.6,3.6,0.0,0.3,0.1,0.01,0.015,16-17
1627754,3.6,3.0,0.0,0.0,0.0,0.0,0.0,16-17
203079,37.2,47.0,0.6,8.3,5.2,0.117,0.14,16-17
1717,31.4,30.9,0.2,2.9,1.9,0.049,0.061,16-17
1627734,25.5,18.0,0.1,2.1,1.2,0.04,0.047,16-17
202700,22.0,17.2,0.1,2.3,1.1,0.043,0.051,16-17
1627827,18.5,14.8,0.1,2.1,1.1,0.045,0.059,16-17
203926,15.7,18.4,0.2,1.8,1.2,0.056,0.077,16-17
1627733,15.9,11.8,0.1,1.0,0.7,0.034,0.043,16-17
203110,62.2,47.2,0.6,12.5,8.1,0.113,0.131,16-17
2730,39.6,26.1,0.2,2.8,1.9,0.036,0.047,16-17
203939,19.0,13.9,0.1,1.6,0.8,0.034,0.043,16-17
2548,32.9,46.2,0.3,7.4,4.5,0.115,0.138,16-17
202734,21.7,25.9,0.2,4.5,2.7,0.103,0.125,16-17
202334,18.6,10.3,0.2,1.6,0.9,0.03,0.048,16-17
204002,13.0,7.5,0.0,0.5,0.5,0.038,0.038,16-17
203901,54.4,61.4,0.9,13.9,7.9,0.119,0.144,16-17
202407,13.0,11.5,0.0,1.5,0.5,0.038,0.038,16-17
1626144,43.5,51.4,0.5,7.1,4.7,0.089,0.108,16-17
202683,18.6,19.3,0.1,2.5,1.2,0.05,0.064,16-17
202339,63.1,72.1,0.5,13.4,7.6,0.1,0.121,16-17
201569,21.5,31.0,0.2,5.1,2.9,0.117,0.133,16-17
101141,36.5,32.1,0.1,3.0,2.0,0.047,0.056,16-17
203095,27.8,37.5,0.4,6.5,3.7,0.107,0.134,16-17
202323,32.2,31.9,0.2,6.7,3.6,0.098,0.111,16-17
1626163,37.4,30.7,0.2,4.1,2.6,0.058,0.071,16-17
1627832,11.3,13.7,0.2,1.9,1.4,0.086,0.12,16-17
202066,31.2,31.7,0.2,4.9,3.1,0.083,0.099,16-17
203914,24.1,31.6,0.3,5.3,3.1,0.117,0.13,16-17
202390,13.0,16.0,0.0,2.5,0.5,0.038,0.038,16-17
1627780,26.0,25.8,0.0,4.5,2.2,0.083,0.083,16-17
201588,55.5,64.4,0.6,8.3,5.2,0.075,0.094,16-17
1627777,5.5,4.2,0.0,0.6,0.3,0.041,0.05,16-17
1627834,17.9,13.5,0.1,1.7,1.0,0.051,0.056,16-17
101123,8.9,11.0,0.1,1.2,0.8,0.079,0.093,16-17
201945,19.8,23.9,0.2,3.5,1.9,0.079,0.097,16-17
203507,57.9,59.2,0.7,10.7,6.4,0.094,0.111,16-17
203922,16.1,14.7,0.1,1.5,0.9,0.043,0.057,16-17
201609,58.7,69.4,0.9,12.2,7.2,0.099,0.122,16-17
202330,40.5,51.1,0.6,7.4,4.5,0.085,0.11,16-17
203476,37.8,25.3,0.2,3.6,2.3,0.051,0.06,16-17
202328,19.1,22.6,0.2,3.9,2.7,0.121,0.142,16-17
202349,29.7,30.7,0.7,6.3,2.7,0.056,0.09,16-17
203084,31.9,35.4,0.3,3.8,1.8,0.045,0.055,16-17
202355,20.2,21.2,0.1,1.7,0.9,0.037,0.046,16-17
1627740,11.7,9.1,0.1,0.7,0.6,0.031,0.049,16-17
203138,12.9,12.8,0.1,1.4,0.9,0.068,0.072,16-17
203546,18.3,21.0,0.3,2.3,1.6,0.064,0.088,16-17
101133,19.5,12.2,0.2,1.3,0.8,0.031,0.041,16-17
202697,18.4,20.2,0.3,2.9,1.9,0.078,0.103,16-17
203477,16.9,18.5,0.1,1.9,1.1,0.056,0.062,16-17
1627819,12.0,11.8,0.0,1.5,0.8,0.063,0.063,16-17
202738,56.8,77.5,1.2,11.4,7.4,0.104,0.131,16-17
1627785,28.5,32.1,0.3,5.5,3.2,0.092,0.111,16-17
202397,46.5,52.9,0.4,10.2,6.0,0.111,0.13,16-17
1627826,22.1,14.9,0.1,1.4,1.0,0.036,0.044,16-17
200826,44.2,50.5,0.4,10.1,6.5,0.125,0.147,16-17
200755,22.2,31.4,0.5,2.9,2.2,0.063,0.098,16-17
2747,22.6,23.9,0.2,3.0,1.8,0.067,0.081,16-17
203210,33.1,21.5,0.2,2.2,1.4,0.033,0.042,16-17
201580,8.1,7.2,0.1,0.6,0.3,0.027,0.042,16-17
203953,43.1,40.4,0.4,6.1,3.6,0.065,0.085,16-17
203109,36.8,31.7,0.4,4.0,2.6,0.059,0.071,16-17
1626143,28.1,30.0,0.1,2.8,1.5,0.041,0.052,16-17
1627774,5.4,6.2,0.1,0.5,0.4,0.058,0.079,16-17
1627751,10.2,5.7,0.1,0.6,0.4,0.022,0.035,16-17
2037,27.1,34.8,0.3,5.1,3.3,0.096,0.121,16-17
1627750,25.1,30.0,0.4,4.0,2.6,0.083,0.104,16-17
2749,46.8,51.5,0.5,9.3,6.0,0.11,0.129,16-17
203516,17.5,14.6,0.1,2.2,1.2,0.057,0.071,16-17
201935,64.6,81.5,0.8,22.3,13.0,0.173,0.201,16-17
201949,43.1,36.4,0.3,7.9,4.3,0.084,0.1,16-17
2592,8.8,6.3,0.0,0.5,0.4,0.033,0.04,16-17
203949,10.9,8.8,0.1,1.0,0.5,0.032,0.046,16-17
203923,5.3,5.7,0.1,0.8,0.3,0.026,0.052,16-17
201162,38.8,27.3,0.2,3.7,2.3,0.049,0.058,16-17
203096,12.5,10.4,0.1,0.7,0.3,0.022,0.022,16-17
204067,7.0,9.4,0.0,1.2,0.2,0.0,0.029,16-17
1626185,17.5,9.5,0.1,0.6,0.3,0.011,0.016,16-17
203950,2.0,1.0,0.0,1.0,1.0,0.5,0.5,16-17
101127,26.5,26.5,0.5,4.0,3.0,0.094,0.113,16-17
1627784,13.4,11.4,0.2,1.9,1.2,0.074,0.091,16-17
201160,19.6,11.4,0.0,1.0,0.6,0.026,0.03,16-17
1891,17.6,15.7,0.2,2.6,1.6,0.075,0.092,16-17
1627759,14.4,14.1,0.1,1.6,1.0,0.057,0.067,16-17
201145,21.9,22.4,0.1,2.9,1.4,0.054,0.066,16-17
201952,57.2,66.7,0.8,15.9,9.2,0.136,0.161,16-17
203481,9.9,6.2,0.0,0.4,0.2,0.014,0.016,16-17
203924,17.6,12.7,0.1,1.6,0.7,0.033,0.04,16-17
203087,16.3,19.1,0.3,2.8,1.7,0.074,0.102,16-17
202391,43.8,51.7,0.3,10.1,5.8,0.117,0.132,16-17
1626170,21.3,23.0,0.2,3.6,2.2,0.09,0.105,16-17
201573,50.7,61.3,0.3,6.7,5.0,0.086,0.099,16-17
202710,45.7,57.4,0.6,11.7,6.4,0.12,0.14,16-17
201149,40.7,23.1,0.1,4.8,2.7,0.055,0.067,16-17
201975,14.7,19.8,0.3,2.8,1.6,0.085,0.111,16-17
203925,20.4,22.9,0.1,2.8,1.4,0.05,0.067,16-17
204060,28.2,27.6,0.3,5.5,3.3,0.097,0.118,16-17
2207,25.6,25.3,0.3,3.4,2.2,0.072,0.086,16-17
1626202,7.1,9.1,0.1,1.5,0.7,0.062,0.093,16-17
201202,5.1,3.2,0.1,0.3,0.2,0.031,0.031,16-17
1627762,4.8,3.3,0.0,0.5,0.3,0.035,0.053,16-17
203954,40.9,44.8,0.2,4.8,2.5,0.052,0.062,16-17
203530,16.5,12.9,0.0,1.8,1.1,0.061,0.067,16-17
203089,16.1,15.0,0.1,1.9,1.1,0.061,0.069,16-17
203098,2.5,3.3,0.0,0.5,0.5,0.1,0.2,16-17
101249,2.6,3.0,0.0,0.6,0.2,0.077,0.077,16-17
202322,60.2,75.8,1.0,20.4,12.4,0.177,0.206,16-17
203948,5.2,5.7,0.0,0.8,0.5,0.105,0.105,16-17
202720,34.3,25.7,0.1,3.0,1.9,0.043,0.054,16-17
201973,24.7,15.5,0.1,1.6,1.1,0.037,0.045,16-17
202685,33.3,21.4,0.2,1.8,1.0,0.022,0.03,16-17
1626780,25.4,29.8,0.4,4.1,2.1,0.06,0.084,16-17
203613,19.2,21.5,0.3,3.4,2.0,0.085,0.104,16-17
203903,29.2,39.3,0.4,5.8,3.2,0.089,0.111,16-17
202348,26.5,33.3,0.6,4.6,3.9,0.113,0.149,16-17
200770,39.0,42.5,0.5,6.0,4.5,0.115,0.115,16-17
201941,5.4,3.7,0.0,0.3,0.0,0.0,0.0,16-17
203895,9.1,10.6,0.2,1.1,0.7,0.056,0.08,16-17
1626175,7.8,6.0,0.0,0.9,0.4,0.036,0.046,16-17
101181,26.5,27.1,0.4,4.3,2.6,0.081,0.098,16-17
203962,14.0,9.5,0.5,1.5,2.0,0.107,0.143,16-17
201177,33.1,23.3,0.1,5.3,2.5,0.069,0.076,16-17
1626196,37.5,38.5,0.4,5.7,3.2,0.07,0.087,16-17
201950,61.5,69.0,0.5,14.4,8.4,0.118,0.137,16-17
1627823,12.6,9.1,0.0,1.1,0.6,0.038,0.048,16-17
203944,40.3,33.9,0.3,7.3,4.0,0.088,0.099,16-17
1626147,19.9,17.5,0.1,2.1,1.1,0.045,0.057,16-17
203120,24.7,19.1,0.1,1.8,1.0,0.033,0.041,16-17
202712,13.7,12.7,0.0,1.3,0.7,0.049,0.049,16-17
203200,19.5,21.7,0.3,2.6,1.6,0.064,0.084,16-17
1626159,46.8,41.4,0.6,7.8,4.6,0.078,0.098,16-17
203994,31.1,24.5,0.0,3.4,2.2,0.062,0.07,16-17
203909,6.6,8.0,0.1,0.8,0.3,0.04,0.052,16-17
1626157,45.7,41.4,0.4,5.5,3.4,0.059,0.074,16-17
202695,32.6,44.6,0.5,7.0,4.3,0.108,0.132,16-17
1627770,12.8,16.1,0.1,2.6,1.6,0.108,0.123,16-17
203482,33.3,26.9,0.1,3.9,2.3,0.059,0.07,16-17
1626162,14.2,12.6,0.1,1.1,0.7,0.042,0.051,16-17
202689,60.0,74.6,0.8,11.6,6.9,0.092,0.115,16-17
202702,21.8,14.2,0.1,2.0,1.2,0.042,0.054,16-17
203145,28.2,30.8,0.4,4.4,2.9,0.086,0.104,16-17
203484,25.3,32.4,0.4,5.2,3.1,0.1,0.122,16-17
201142,38.5,42.7,0.4,8.4,5.5,0.126,0.143,16-17
201567,40.2,32.7,0.4,3.2,2.4,0.048,0.059,16-17
202338,11.9,9.5,0.1,1.4,0.6,0.037,0.051,16-17
1626172,10.7,7.5,0.1,1.1,0.7,0.051,0.062,16-17
203114,37.8,39.8,0.4,7.0,4.0,0.09,0.107,16-17
202691,26.2,40.2,0.7,3.9,3.2,0.078,0.122,16-17
201585,21.8,15.1,0.1,1.7,0.8,0.03,0.037,16-17
