PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
203932,48.3,25.8,2.9,3.62,2.83,0.256,1.3,2.3,3.8,20-21
1628988,24.5,15.5,1.2,2.97,2.61,0.293,0.2,0.0,0.3,20-21
1630174,16.7,9.5,0.5,1.67,0.81,0.284,0.2,0.0,0.7,20-21
1627846,16.2,10.9,0.5,1.91,1.19,0.411,0.0,0.0,0.7,20-21
1629690,4.1,3.1,0.1,1.37,0.78,0.259,0.1,0.0,0.1,20-21
201143,53.6,38.5,1.9,2.15,0.73,0.265,2.7,3.9,3.5,20-21
202329,30.1,13.7,1.0,2.04,1.02,0.147,1.0,1.0,1.8,20-21
202692,38.9,24.7,2.3,3.5,2.78,0.327,0.4,0.0,0.7,20-21
1630197,41.4,23.0,1.6,2.39,1.63,0.197,0.3,0.1,1.0,20-21
1629346,9.3,4.9,0.3,1.76,0.51,0.201,0.3,0.2,0.8,20-21
1627936,44.0,18.8,2.5,3.44,2.7,0.145,0.6,0.1,0.8,20-21
203458,21.9,12.7,0.5,1.33,0.45,0.301,1.5,0.5,5.0,20-21
1628035,8.1,5.1,0.2,1.72,0.76,0.389,0.1,0.0,0.8,20-21
1628993,16.0,7.2,0.7,2.56,1.82,0.326,0.3,0.1,2.6,20-21
1628578,9.2,5.0,0.2,1.32,0.35,0.283,0.2,0.8,2.0,20-21
1629599,10.8,7.9,0.5,2.61,1.69,0.296,0.0,0.0,0.1,20-21
2760,15.8,7.8,0.5,1.96,0.66,0.165,1.6,1.0,1.8,20-21
203083,53.0,30.0,1.9,2.15,0.89,0.282,4.1,6.4,10.0,20-21
2738,35.7,15.3,1.7,2.91,1.93,0.122,0.8,0.4,1.2,20-21
203460,16.6,8.0,0.4,1.31,0.63,0.072,1.2,0.0,1.4,20-21
203952,48.0,33.1,2.4,2.99,2.2,0.388,0.5,1.7,2.4,20-21
1629014,28.2,10.1,2.3,4.89,4.37,0.278,0.1,0.0,0.2,20-21
203076,61.6,39.7,2.6,2.54,1.11,0.354,4.2,9.2,6.4,20-21
1630162,54.1,31.8,3.3,3.7,3.11,0.357,0.8,0.2,1.4,20-21
1630264,11.2,6.5,0.3,1.5,0.51,0.274,0.3,0.1,1.3,20-21
1630237,25.9,13.1,0.9,2.04,1.29,0.214,0.4,0.3,1.7,20-21
201229,8.5,5.5,0.2,1.54,0.63,0.181,0.0,0.0,0.3,20-21
1628394,20.0,15.0,0.6,1.79,0.8,0.0,0.0,3.0,1.0,20-21
1629717,36.9,23.6,1.6,2.58,1.82,0.302,0.2,0.1,0.5,20-21
203382,27.6,16.5,0.6,1.29,0.28,0.222,1.7,0.3,3.9,20-21
1630204,1.5,0.5,0.1,3.97,4.0,0.0,0.0,0.0,0.0,20-21
203085,33.4,22.6,2.0,3.57,2.86,0.237,0.2,0.0,0.2,20-21
202340,29.6,18.0,1.2,2.46,1.97,0.216,0.3,0.0,1.1,20-21
1626253,7.9,4.3,0.2,1.85,0.98,0.222,0.4,0.0,0.5,20-21
1628389,64.4,40.4,3.1,2.88,1.55,0.29,6.4,5.7,8.1,20-21
203463,22.6,15.2,0.6,1.57,0.74,0.339,0.4,0.0,0.5,20-21
1627732,82.0,27.1,5.8,4.24,3.24,0.174,2.1,2.8,3.9,20-21
202687,25.7,16.7,0.6,1.5,0.39,0.196,2.3,0.5,6.3,20-21
201933,47.2,29.8,2.0,2.58,1.51,0.232,1.9,3.0,2.0,20-21
1626246,13.9,7.9,0.4,1.61,0.41,0.341,1.1,2.0,3.7,20-21
1626171,34.5,17.1,0.9,1.62,0.63,0.331,1.4,1.8,3.8,20-21
203992,47.0,30.1,2.4,3.04,2.11,0.348,0.8,0.2,1.0,20-21
202711,41.5,29.9,1.6,2.26,1.55,0.41,0.4,1.4,1.0,20-21
1629626,6.2,3.7,0.2,2.11,1.23,0.348,0.1,0.1,0.1,20-21
202954,36.7,17.3,2.3,3.76,3.56,0.15,0.1,0.0,0.5,20-21
203078,69.0,47.5,3.8,3.33,2.77,0.454,1.3,0.5,2.3,20-21
1629634,30.5,19.1,0.7,1.47,0.73,0.339,2.7,0.3,4.9,20-21
1629164,29.5,11.8,2.4,4.84,4.21,0.165,0.1,0.0,0.3,20-21
1627742,62.8,40.2,3.9,3.74,2.73,0.379,0.9,0.5,0.8,20-21
1628968,2.5,1.3,0.1,1.91,0.8,0.2,0.0,0.0,0.2,20-21
1630271,18.0,9.9,1.0,3.28,2.75,0.217,0.3,0.0,0.6,20-21
201572,28.4,17.8,0.7,1.4,0.39,0.432,1.2,1.6,4.0,20-21
1628971,30.6,15.0,1.1,2.16,1.38,0.288,2.0,0.1,4.4,20-21
203998,12.3,7.2,0.4,1.72,0.68,0.23,0.5,0.0,1.5,20-21
1628981,10.6,5.1,0.3,1.58,0.59,0.145,0.7,0.4,1.3,20-21
1627854,19.7,14.0,0.7,2.03,1.31,0.507,0.1,0.0,0.2,20-21
1627741,54.5,32.4,2.5,2.72,2.1,0.304,0.2,0.0,0.5,20-21
1629604,8.6,3.8,0.5,3.65,3.02,0.263,0.1,0.0,0.4,20-21
203468,65.1,28.3,5.2,4.79,4.3,0.355,0.6,0.0,0.8,20-21
1628997,21.1,14.0,0.8,2.32,1.39,0.237,0.4,0.0,0.6,20-21
1629629,35.0,21.7,1.5,2.52,1.73,0.321,0.7,0.0,1.6,20-21
1629244,9.8,6.6,0.3,1.54,0.86,0.306,0.2,0.0,0.8,20-21
1629661,31.6,20.8,0.8,1.57,0.81,0.302,0.6,0.0,1.0,20-21
1628419,41.0,21.8,0.9,1.35,0.28,0.262,2.0,1.3,2.8,20-21
1626166,45.2,17.0,3.6,4.75,4.03,0.186,0.1,0.0,0.3,20-21
1627747,62.7,33.1,4.1,3.96,3.69,0.321,0.9,0.1,1.2,20-21
2546,30.0,20.0,1.4,2.88,1.46,0.446,0.7,3.2,0.7,20-21
1629035,11.7,7.0,0.5,2.4,1.75,0.34,0.1,0.0,0.3,20-21
1630199,5.4,3.7,0.2,2.69,2.26,0.279,0.0,0.0,0.5,20-21
1630216,9.9,3.4,0.7,4.4,3.99,0.189,0.0,0.0,0.0,20-21
1626224,43.2,27.7,2.0,2.77,2.04,0.24,0.5,0.1,1.1,20-21
1628990,17.5,8.8,0.6,2.04,1.13,0.245,0.4,0.1,1.2,20-21
1629718,15.3,10.1,0.5,2.05,1.26,0.29,0.2,0.0,0.3,20-21
1626184,40.8,11.3,3.9,5.76,5.28,0.159,0.1,0.0,0.2,20-21
1629002,22.4,12.8,0.7,1.79,0.66,0.28,1.6,0.9,2.5,20-21
1628449,38.8,21.5,1.0,1.6,0.46,0.351,1.5,0.2,4.8,20-21
1629185,26.1,9.1,2.0,4.57,4.21,0.153,0.1,0.0,0.2,20-21
101108,77.4,25.5,7.2,5.56,4.84,0.212,0.3,0.3,0.3,20-21
1629735,10.9,5.1,0.3,1.7,0.65,0.195,1.0,0.1,1.3,20-21
