PLAYER_ID,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_PTS,PULL_UP_EFG_PCT,SEASON
203932,1.0,3.5,0.281,1.1,2.3,0.327,19-20
1628988,1.1,3.2,0.359,1.3,2.7,0.428,19-20
1627846,0.2,0.6,0.406,0.1,0.5,0.438,19-20
1629690,0.0,0.0,,0.0,0.0,,19-20
1629678,0.1,0.2,0.375,0.1,0.2,0.375,19-20
201143,0.4,0.9,0.475,0.2,0.9,0.508,19-20
202329,0.0,0.2,0.0,0.1,0.0,0.0,19-20
202692,2.1,5.1,0.414,2.5,5.2,0.51,19-20
1629346,0.1,0.1,0.5,0.0,0.1,0.5,19-20
1627936,0.3,1.0,0.25,0.5,0.6,0.32,19-20
203458,0.0,0.1,0.25,0.0,0.0,0.25,19-20
1628035,0.2,0.6,0.273,0.2,0.3,0.295,19-20
1628993,0.0,0.2,0.0,0.0,0.0,0.0,19-20
203459,0.2,1.0,0.237,0.4,0.5,0.237,19-20
1629019,1.0,2.2,0.481,1.1,2.4,0.558,19-20
1628518,0.1,0.1,0.5,,0.1,0.5,19-20
1629599,0.3,0.8,0.357,0.3,0.6,0.393,19-20
203083,0.1,0.4,0.182,0.1,0.2,0.205,19-20
2738,0.2,0.8,0.294,0.2,0.5,0.324,19-20
203460,0.0,0.3,0.0,0.3,0.0,0.0,19-20
203952,1.9,6.0,0.322,2.4,4.6,0.385,19-20
1629014,1.1,3.2,0.344,1.2,2.5,0.403,19-20
1627790,0.0,0.0,,,0.0,,19-20
203076,1.3,3.6,0.36,0.3,2.7,0.367,19-20
201229,0.1,0.2,0.583,0.1,0.3,0.75,19-20
1628499,0.1,0.3,0.333,0.0,0.2,0.333,19-20
1628394,0.0,0.0,1.0,0.0,0.1,1.0,19-20
203382,0.1,0.2,0.4,0.0,0.2,0.45,19-20
203085,0.6,1.6,0.364,1.4,1.6,0.519,19-20
202340,1.0,2.2,0.443,0.4,2.1,0.481,19-20
1629168,0.3,1.4,0.214,0.1,0.7,0.25,19-20
1628389,0.3,1.1,0.291,0.1,0.7,0.297,19-20
203463,0.4,0.9,0.391,0.9,1.0,0.578,19-20
1627732,0.2,0.7,0.225,0.1,0.3,0.225,19-20
202687,0.0,0.1,0.25,,0.0,0.25,19-20
201933,1.0,4.1,0.243,3.2,2.9,0.358,19-20
1626246,0.2,0.5,0.4,0.0,0.4,0.4,19-20
1626171,0.6,1.4,0.436,0.1,1.3,0.447,19-20
203992,1.6,4.1,0.394,1.9,3.8,0.462,19-20
202711,1.5,4.1,0.364,2.3,3.9,0.473,19-20
1629626,0.1,0.6,0.25,0.1,0.3,0.25,19-20
202954,0.5,1.6,0.328,0.6,1.2,0.366,19-20
203078,3.6,9.3,0.384,3.9,8.5,0.454,19-20
1629634,0.5,0.9,0.527,0.0,1.0,0.527,19-20
1629164,0.7,1.7,0.404,0.9,1.8,0.526,19-20
1627742,2.3,5.8,0.389,1.1,4.8,0.415,19-20
202688,1.2,3.3,0.366,2.7,3.4,0.518,19-20
1628968,0.0,0.2,0.0,0.0,0.0,0.0,19-20
201572,0.5,1.0,0.456,0.1,1.0,0.485,19-20
1628971,0.1,0.5,0.172,0.1,0.2,0.19,19-20
203998,0.1,0.3,0.375,0.1,0.2,0.438,19-20
1628981,0.1,0.3,0.357,0.1,0.2,0.357,19-20
1627854,1.2,3.0,0.415,1.4,3.0,0.511,19-20
1627741,3.0,7.6,0.395,4.3,7.6,0.502,19-20
203468,4.2,9.8,0.427,3.8,9.5,0.486,19-20
101139,0.3,1.2,0.25,0.6,0.8,0.333,19-20
1628997,0.1,0.7,0.154,0.4,0.3,0.192,19-20
1628403,0.0,0.1,0.0,0.0,0.0,0.0,19-20
1629629,0.8,2.4,0.338,0.8,1.9,0.384,19-20
1629661,0.2,0.6,0.324,0.2,0.5,0.365,19-20
1626166,1.3,2.8,0.455,0.6,3.0,0.545,19-20
1627747,2.7,6.7,0.399,3.2,6.6,0.49,19-20
2546,2.2,5.5,0.404,0.4,4.6,0.416,19-20
1629035,0.6,1.5,0.375,0.9,1.4,0.473,19-20
1626224,0.7,1.9,0.36,1.0,1.8,0.46,19-20
1628990,0.1,0.3,0.333,0.0,0.2,0.333,19-20
202718,0.0,0.2,0.0,0.2,0.0,0.0,19-20
1629718,0.0,0.2,0.0,0.1,0.0,0.0,19-20
1626184,0.0,0.3,0.0,0.0,0.0,0.0,19-20
1627767,0.0,0.1,0.286,0.0,0.1,0.286,19-20
1629002,0.1,0.4,0.286,0.0,0.2,0.286,19-20
1628449,0.0,0.1,0.125,0.1,0.0,0.125,19-20
1629185,0.4,1.7,0.213,1.1,0.9,0.266,19-20
1629598,0.8,2.0,0.4,1.8,2.2,0.569,19-20
101108,4.5,9.4,0.479,3.4,10.2,0.544,19-20
1629735,0.0,0.0,1.0,0.0,0.1,1.0,19-20
1626174,0.2,0.6,0.333,0.3,0.5,0.41,19-20
203991,0.0,0.1,0.0,,0.0,0.0,19-20
1629632,1.3,4.0,0.322,2.0,3.2,0.405,19-20
1628998,0.2,0.5,0.348,0.2,0.4,0.435,19-20
