PLAYER_ID,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,SEASON
202738,2.5,1.7,2.3,2.7,5.2,5.0,3.2,14.8,18-19
202397,1.2,0.3,0.9,4.1,6.3,4.8,4.6,22.7,18-19
1628397,0.8,1.4,0.4,4.1,6.0,3.4,5.8,13.8,18-19
1627826,1.2,1.7,0.9,7.0,6.7,4.2,5.8,18.6,18-19
200826,1.3,0.4,1.0,4.5,6.2,5.9,5.6,19.2,18-19
1629122,0.0,0.0,1.0,3.0,3.5,1.0,1.0,5.0,18-19
200755,2.1,1.4,2.0,2.1,11.8,8.2,10.0,32.7,18-19
2747,1.0,0.5,0.5,1.3,8.2,6.4,5.6,20.2,18-19
203960,3.0,3.0,2.5,10.0,7.0,12.5,7.0,29.0,18-19
203210,1.5,2.0,0.9,4.1,8.0,5.5,6.4,18.9,18-19
201580,1.2,2.3,1.3,10.3,9.1,7.0,8.3,24.0,18-19
203953,1.7,1.5,2.0,7.8,10.4,7.9,7.0,28.3,18-19
1628980,0.3,0.3,0.2,0.5,2.7,2.2,2.5,6.5,18-19
203109,1.8,1.0,1.7,3.0,9.7,6.6,6.3,26.3,18-19
1626143,0.9,1.7,0.5,6.9,6.2,4.7,5.8,16.9,18-19
1627774,1.1,1.0,0.9,4.0,6.8,5.3,4.9,19.5,18-19
1627751,0.7,1.5,0.2,4.6,5.1,4.0,4.6,16.1,18-19
1628973,1.0,0.8,1.3,4.5,6.6,5.4,7.2,22.2,18-19
1627883,1.3,1.3,0.7,1.9,5.0,2.5,3.5,12.9,18-19
2037,1.0,0.4,0.9,1.4,8.4,7.0,7.1,21.4,18-19
1627750,2.2,1.5,2.1,6.6,10.9,7.6,8.5,33.5,18-19
203516,1.7,1.2,1.4,2.8,9.1,5.9,5.7,23.4,18-19
201935,5.4,2.8,3.1,11.1,12.8,10.4,11.2,39.2,18-19
201949,1.0,0.5,0.4,3.9,7.2,5.8,5.9,18.9,18-19
203263,0.3,0.0,0.1,0.5,2.2,2.0,1.9,9.1,18-19
201162,0.7,0.8,0.5,1.3,7.2,5.9,4.3,20.5,18-19
1629123,0.2,0.5,0.1,0.4,2.7,2.9,1.9,7.7,18-19
1626185,0.3,0.2,0.4,0.8,2.0,1.5,2.4,6.7,18-19
1628991,2.0,1.6,1.3,8.2,8.4,6.5,8.7,22.8,18-19
