PLAYER_ID,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_AST,DRIVE_TOV,SEASON
203932,4.8,0.8,2.0,0.405,0.6,0.9,2.3,0.49,1.7,0.5,0.3,19-20
1628988,7.6,1.4,3.2,0.448,0.4,0.5,3.4,0.442,3.6,0.8,0.3,19-20
1627846,3.0,0.7,1.3,0.514,0.4,0.5,1.9,0.62,1.1,0.3,0.3,19-20
1629690,1.1,0.4,0.6,0.571,0.0,0.0,0.7,0.667,0.4,0.1,0.1,19-20
1629678,0.4,0.0,0.1,0.0,0.0,0.1,0.0,0.083,0.2,0.1,0.0,19-20
201143,1.4,0.3,0.6,0.465,0.1,0.1,0.7,0.5,0.6,0.1,0.1,19-20
202329,2.3,0.2,0.8,0.2,0.1,0.1,0.4,0.167,1.1,0.2,0.3,19-20
202692,6.6,1.3,3.3,0.403,1.6,1.8,4.5,0.684,1.8,0.5,0.4,19-20
1629346,1.6,0.3,0.6,0.444,0.4,0.4,1.0,0.636,0.4,0.1,0.2,19-20
1627936,3.2,0.5,1.3,0.383,0.4,0.5,1.4,0.425,1.3,0.4,0.3,19-20
203458,0.4,0.2,0.3,0.643,0.0,0.0,0.4,0.905,0.1,0.0,0.0,19-20
1628035,1.5,0.5,1.0,0.488,0.1,0.1,1.1,0.7,0.3,0.1,0.1,19-20
1628993,0.9,0.1,0.4,0.143,0.1,0.1,0.2,0.188,0.4,0.1,0.1,19-20
203459,1.6,0.3,0.7,0.385,0.1,0.1,0.6,0.379,0.6,0.0,0.2,19-20
1629019,3.1,0.5,0.9,0.619,0.2,0.3,1.3,0.4,1.6,0.3,0.5,19-20
1628518,0.2,0.1,0.1,0.5,0.1,0.2,0.2,0.75,0.0,0.0,0.0,19-20
1629599,1.8,0.6,1.1,0.526,0.1,0.1,1.2,0.656,0.6,0.3,0.1,19-20
203083,3.5,0.8,1.8,0.444,0.3,0.6,1.9,0.533,0.8,0.2,0.5,19-20
2738,1.1,0.2,0.3,0.5,0.0,0.0,0.3,0.273,0.7,0.2,0.1,19-20
203460,0.9,0.1,0.6,0.25,0.0,0.0,0.3,0.333,0.3,0.0,0.0,19-20
203952,14.1,3.4,6.9,0.489,1.7,2.2,8.7,0.618,4.7,0.9,0.9,19-20
1629014,3.7,0.9,2.2,0.406,0.6,0.7,2.6,0.694,0.8,0.2,0.2,19-20
1627790,0.0,0.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,0.0,0.0,19-20
203076,3.6,0.8,1.8,0.468,1.1,1.3,2.9,0.788,0.8,0.2,0.3,19-20
201229,0.4,0.0,0.2,0.222,0.1,0.1,0.1,0.348,0.1,0.0,0.1,19-20
