PLAYER_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PIE,SEASON
202683,109.3,108.0,1.3,0.078,0.54,6.4,0.126,0.185,0.156,11.7,0.549,0.599,0.154,16-17
202339,107.9,111.6,-3.8,0.309,1.87,22.4,0.023,0.124,0.072,12.0,0.485,0.563,0.141,16-17
201569,112.3,106.1,6.2,0.125,1.55,13.5,0.012,0.068,0.04,8.7,0.527,0.557,0.082,16-17
101141,103.9,104.3,-0.4,0.107,1.22,11.4,0.052,0.163,0.108,9.4,0.511,0.546,0.106,16-17
203095,104.4,108.8,-4.4,0.144,1.43,14.6,0.019,0.072,0.045,10.2,0.508,0.555,0.085,16-17
202323,103.3,108.8,-5.5,0.196,2.05,22.8,0.021,0.125,0.073,11.1,0.454,0.491,0.088,16-17
1626163,108.7,108.3,0.4,0.131,2.13,14.6,0.029,0.141,0.086,6.9,0.471,0.502,0.085,16-17
1627832,101.2,90.3,10.8,0.18,2.33,20.5,0.013,0.118,0.067,8.8,0.401,0.443,0.078,16-17
202066,105.3,110.6,-5.3,0.146,2.15,23.8,0.019,0.09,0.055,11.0,0.519,0.545,0.071,16-17
203914,116.1,113.9,2.2,0.129,2.16,17.6,0.027,0.076,0.051,8.1,0.586,0.611,0.091,16-17
202390,83.8,94.7,-11.0,0.125,0.0,10.0,0.0,0.067,0.0,0.0,0.0,0.228,-0.044,16-17
1627780,87.5,115.3,-27.8,0.224,1.3,27.7,0.0,0.122,0.063,21.3,0.386,0.413,0.041,16-17
201588,109.8,101.3,8.5,0.227,2.4,21.0,0.016,0.095,0.056,8.7,0.554,0.599,0.128,16-17
1627777,102.6,100.0,2.6,0.074,1.0,10.6,0.019,0.16,0.084,10.6,0.264,0.285,0.02,16-17
1627834,103.9,108.9,-5.0,0.085,0.83,13.2,0.078,0.169,0.127,15.8,0.549,0.573,0.082,16-17
101123,107.4,107.3,0.0,0.1,1.32,10.7,0.028,0.122,0.075,8.1,0.494,0.524,0.081,16-17
201945,100.4,108.8,-8.3,0.108,1.81,14.0,0.02,0.092,0.055,7.8,0.478,0.529,0.073,16-17
203507,108.6,107.5,1.1,0.269,1.85,19.7,0.052,0.199,0.127,10.6,0.541,0.599,0.176,16-17
203922,102.9,105.3,-2.4,0.048,1.27,10.4,0.041,0.127,0.085,8.1,0.54,0.564,0.081,16-17
201609,108.4,107.3,1.1,0.283,2.0,22.2,0.025,0.087,0.056,11.1,0.527,0.575,0.13,16-17
202330,110.6,103.8,6.8,0.179,1.8,14.7,0.021,0.136,0.081,8.1,0.536,0.595,0.158,16-17
203476,110.1,109.3,0.8,0.086,1.48,15.8,0.073,0.181,0.126,10.7,0.514,0.555,0.092,16-17
202328,111.0,107.0,4.0,0.165,1.34,16.2,0.099,0.208,0.155,12.1,0.533,0.572,0.139,16-17
202349,94.1,113.4,-19.3,0.185,5.0,33.3,0.0,0.048,0.022,6.7,0.313,0.376,0.009,16-17
203084,104.0,106.2,-2.2,0.076,1.14,7.2,0.034,0.117,0.075,6.3,0.498,0.541,0.112,16-17
202355,108.7,106.6,2.0,0.037,0.37,4.3,0.115,0.313,0.214,11.6,0.557,0.579,0.163,16-17
1627740,99.7,101.7,-2.0,0.074,0.5,8.0,0.05,0.217,0.131,16.1,0.438,0.444,0.076,16-17
203138,99.7,104.3,-4.5,0.072,3.18,13.5,0.024,0.115,0.07,4.2,0.465,0.482,0.058,16-17
203546,105.1,103.6,1.5,0.122,1.64,14.9,0.02,0.078,0.051,9.1,0.558,0.575,0.092,16-17
101133,105.1,102.4,2.7,0.05,0.56,9.6,0.085,0.184,0.134,17.2,0.586,0.601,0.082,16-17
202697,110.7,109.0,1.7,0.08,1.4,15.2,0.021,0.088,0.056,10.8,0.507,0.536,0.055,16-17
203477,100.0,105.7,-5.7,0.099,1.76,15.1,0.009,0.074,0.04,8.6,0.436,0.483,0.056,16-17
1627819,103.5,121.2,-17.7,0.07,0.0,27.3,0.019,0.037,0.028,0.0,0.143,0.19,-0.013,16-17
202738,115.1,110.5,4.6,0.305,2.13,18.7,0.017,0.061,0.04,8.7,0.546,0.625,0.161,16-17
1627785,104.0,107.0,-3.1,0.173,1.35,21.5,0.019,0.084,0.053,15.9,0.445,0.487,0.052,16-17
202397,105.4,104.6,0.8,0.319,3.73,31.5,0.01,0.109,0.058,8.4,0.458,0.477,0.107,16-17
1627826,103.1,113.7,-10.5,0.078,1.0,9.4,0.065,0.188,0.126,9.4,0.529,0.547,0.1,16-17
200826,102.8,103.7,-0.9,0.421,3.06,31.0,0.012,0.102,0.057,10.1,0.491,0.521,0.134,16-17
200755,115.8,106.2,9.6,0.074,1.12,9.4,0.005,0.07,0.039,8.4,0.558,0.599,0.089,16-17
2747,112.5,110.0,2.6,0.071,2.38,13.8,0.014,0.078,0.046,5.8,0.479,0.484,0.046,16-17
203210,105.6,105.2,0.3,0.064,0.89,11.2,0.081,0.186,0.133,12.5,0.555,0.601,0.093,16-17
201580,122.6,102.5,20.1,0.032,0.43,4.0,0.138,0.167,0.154,9.5,0.652,0.642,0.125,16-17
203953,108.1,110.6,-2.5,0.137,1.53,12.4,0.048,0.134,0.092,8.1,0.53,0.563,0.121,16-17
203109,114.1,106.3,7.8,0.097,1.94,14.8,0.021,0.149,0.087,7.6,0.572,0.613,0.103,16-17
1626143,96.5,110.1,-13.7,0.097,0.64,8.4,0.067,0.145,0.104,13.2,0.514,0.546,0.097,16-17
1627774,97.3,98.3,-0.9,0.072,1.0,9.2,0.022,0.065,0.044,9.2,0.365,0.404,0.025,16-17
1627751,100.9,101.0,-0.1,0.03,0.41,6.6,0.118,0.15,0.133,15.9,0.583,0.589,0.057,16-17
2037,106.9,107.9,-1.0,0.159,1.6,16.5,0.008,0.051,0.03,10.3,0.479,0.525,0.079,16-17
1627750,110.2,108.0,2.2,0.142,1.5,16.1,0.023,0.095,0.059,10.7,0.483,0.518,0.078,16-17
2749,112.5,109.6,2.9,0.258,3.01,33.7,0.013,0.08,0.046,11.2,0.531,0.544,0.075,16-17
203516,105.4,103.8,1.5,0.067,1.08,13.0,0.045,0.126,0.085,11.9,0.534,0.581,0.07,16-17
201935,115.6,108.9,6.7,0.505,1.95,27.9,0.031,0.185,0.109,14.3,0.525,0.613,0.19,16-17
201949,105.8,102.8,3.0,0.21,1.61,21.1,0.031,0.145,0.088,13.1,0.535,0.564,0.12,16-17
2592,97.7,110.6,-12.9,0.062,1.4,11.3,0.008,0.089,0.049,8.1,0.647,0.655,0.067,16-17
203949,98.5,103.0,-4.4,0.06,0.95,10.3,0.072,0.115,0.094,10.9,0.538,0.543,0.077,16-17
203923,97.9,107.4,-9.5,0.03,1.0,5.8,0.025,0.091,0.057,5.8,0.534,0.549,0.063,16-17
201162,103.6,105.2,-1.6,0.126,1.66,21.3,0.021,0.134,0.077,12.8,0.565,0.579,0.079,16-17
203096,90.8,104.7,-13.9,0.048,0.75,5.3,0.068,0.159,0.106,7.0,0.351,0.366,0.027,16-17
204067,90.8,93.7,-2.9,0.0,0.0,0.0,0.012,0.071,0.042,4.2,0.421,0.523,0.082,16-17
1626185,94.4,99.8,-5.4,0.025,0.29,3.8,0.067,0.206,0.134,13.3,0.414,0.477,0.069,16-17
203950,114.3,114.3,0.0,0.4,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.798,0.121,16-17
101127,88.4,98.5,-10.1,0.263,1.67,41.7,0.0,0.0,0.0,25.0,0.667,0.773,0.051,16-17
1627784,95.1,122.1,-27.0,0.141,3.0,17.0,0.059,0.132,0.091,5.7,0.461,0.487,0.081,16-17
201160,106.5,106.4,0.1,0.052,0.64,8.3,0.061,0.178,0.121,13.0,0.585,0.598,0.087,16-17
1891,107.9,103.4,4.5,0.1,2.72,25.2,0.012,0.066,0.04,9.3,0.582,0.6,0.058,16-17
1627759,101.8,106.2,-4.4,0.077,0.94,10.6,0.033,0.127,0.081,11.3,0.509,0.54,0.071,16-17
201145,98.5,107.8,-9.2,0.089,1.08,10.3,0.023,0.109,0.065,9.6,0.442,0.505,0.077,16-17
201952,109.0,107.9,1.1,0.359,2.96,32.9,0.013,0.111,0.063,11.1,0.492,0.574,0.131,16-17
203481,103.9,106.8,-2.8,0.025,0.5,4.8,0.121,0.159,0.14,9.6,0.534,0.588,0.096,16-17
203924,104.0,108.4,-4.4,0.044,1.05,9.4,0.023,0.106,0.064,9.0,0.529,0.556,0.058,16-17
203087,107.4,108.9,-1.5,0.113,1.88,11.4,0.026,0.2,0.113,6.1,0.502,0.55,0.124,16-17
202391,103.3,108.1,-4.7,0.338,2.14,25.1,0.012,0.128,0.071,11.7,0.51,0.566,0.131,16-17
1626170,107.5,104.8,2.7,0.172,2.75,24.4,0.016,0.09,0.052,8.9,0.507,0.555,0.084,16-17
201573,93.8,108.3,-14.6,0.361,1.44,22.0,0.041,0.115,0.079,15.3,0.375,0.453,0.097,16-17
202710,108.0,104.7,3.3,0.243,2.62,19.7,0.044,0.118,0.081,7.5,0.492,0.586,0.164,16-17
201149,106.2,112.6,-6.4,0.138,1.78,25.8,0.146,0.229,0.187,14.5,0.49,0.491,0.094,16-17
201975,105.9,111.7,-5.8,0.089,1.25,12.2,0.007,0.1,0.052,9.8,0.512,0.567,0.081,16-17
203925,97.9,109.1,-11.2,0.076,0.98,10.9,0.013,0.103,0.058,11.1,0.543,0.558,0.061,16-17
204060,108.5,104.4,4.0,0.168,2.1,27.6,0.013,0.123,0.07,13.1,0.589,0.604,0.09,16-17
2207,107.6,104.3,3.3,0.125,2.09,16.6,0.019,0.115,0.069,7.9,0.521,0.542,0.095,16-17
1626202,87.1,106.2,-19.1,0.203,3.0,15.3,0.006,0.0,0.0,5.1,0.396,0.433,0.087,16-17
201202,89.6,93.3,-3.7,0.041,0.75,11.1,0.06,0.178,0.118,14.8,0.625,0.64,0.087,16-17
1627762,100.9,91.7,9.2,0.065,1.0,8.7,0.077,0.22,0.153,8.7,0.594,0.59,0.154,16-17
203954,102.8,98.7,4.1,0.174,0.56,9.1,0.08,0.218,0.152,16.2,0.508,0.584,0.174,16-17
203530,103.3,106.9,-3.6,0.11,1.25,14.2,0.069,0.182,0.124,11.3,0.49,0.509,0.094,16-17
203089,106.3,108.2,-1.9,0.076,1.1,12.2,0.084,0.179,0.132,11.1,0.515,0.55,0.092,16-17
203098,137.0,96.6,40.5,0.083,0.0,14.3,0.0,0.091,0.0,0.0,0.5,0.595,0.102,16-17
101249,108.3,56.0,52.3,0.2,0.0,20.0,0.0,0.0,0.0,0.0,0.25,0.25,0.073,16-17
