PLAYER_ID,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,SEASON
1627773,0.762,0.238,0.5,0.292,0.313,0.042,0.187,0.125,0.208,0.917,0.083,1.0,0.0,0.941,0.059,16-17
201166,0.573,0.427,0.453,0.174,0.447,0.075,0.1,0.124,0.28,0.096,0.904,0.583,0.417,0.289,0.711,16-17
203932,0.691,0.309,0.62,0.135,0.227,0.174,0.153,0.172,0.485,0.503,0.497,0.844,0.156,0.57,0.43,16-17
1626151,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16-17
203940,0.722,0.278,0.635,0.254,0.143,0.063,0.222,0.175,0.381,0.65,0.35,1.0,0.0,0.696,0.304,16-17
201143,0.698,0.302,0.616,0.193,0.271,0.043,0.113,0.105,0.422,0.59,0.41,0.977,0.023,0.678,0.322,16-17
2744,0.998,0.002,0.879,0.179,0.0,0.007,0.121,0.131,0.699,0.536,0.464,0.0,0.0,0.536,0.464,16-17
202329,0.545,0.455,0.425,0.045,0.395,0.09,0.18,0.113,0.38,0.46,0.54,1.0,0.0,0.667,0.333,16-17
101187,0.45,0.55,0.372,0.07,0.488,0.0,0.14,0.198,0.302,0.563,0.438,0.857,0.143,0.7,0.3,16-17
1626210,0.996,0.004,0.798,0.04,0.0,0.133,0.202,0.11,0.757,0.725,0.275,0.0,0.0,0.725,0.275,16-17
202692,0.694,0.306,0.523,0.177,0.265,0.141,0.212,0.159,0.346,0.311,0.689,0.84,0.16,0.444,0.556,16-17
203518,0.276,0.724,0.197,0.049,0.695,0.177,0.108,0.165,0.148,0.6,0.4,0.968,0.032,0.858,0.142,16-17
203458,0.974,0.026,0.741,0.091,0.015,0.064,0.244,0.108,0.649,0.63,0.37,1.0,0.0,0.635,0.365,16-17
1627816,0.648,0.352,0.594,0.063,0.281,0.031,0.125,0.172,0.531,0.579,0.421,1.0,0.0,0.68,0.32,16-17
201582,0.978,0.022,0.86,0.232,0.0,0.024,0.14,0.082,0.628,0.82,0.18,0.0,0.0,0.82,0.18,16-17
203459,0.533,0.467,0.4,0.175,0.476,0.148,0.124,0.17,0.225,0.775,0.225,0.97,0.03,0.861,0.139,16-17
202087,0.786,0.214,0.545,0.0,0.0,0.0,0.455,0.0,0.545,0.667,0.333,0.0,0.0,0.667,0.333,16-17
101161,0.822,0.178,0.715,0.015,0.156,0.067,0.129,0.102,0.7,0.758,0.242,1.0,0.0,0.789,0.211,16-17
2760,1.0,0.0,0.556,0.111,0.0,0.222,0.444,0.111,0.444,0.6,0.4,0.0,0.0,0.6,0.4,16-17
203083,0.992,0.008,0.871,0.072,0.005,0.086,0.124,0.138,0.798,0.605,0.395,0.0,1.0,0.602,0.398,16-17
2738,0.573,0.427,0.54,0.111,0.334,0.251,0.126,0.178,0.429,0.703,0.297,0.922,0.078,0.767,0.233,16-17
203460,0.603,0.397,0.651,0.008,0.259,0.234,0.09,0.236,0.644,0.765,0.235,0.978,0.022,0.809,0.191,16-17
101106,0.988,0.012,0.962,0.051,0.0,0.0,0.038,0.203,0.911,0.526,0.474,0.0,0.0,0.526,0.474,16-17
1626150,0.567,0.433,0.348,0.075,0.304,0.096,0.348,0.188,0.273,0.149,0.851,0.628,0.372,0.325,0.675,16-17
203094,0.757,0.243,0.76,0.18,0.15,0.04,0.09,0.14,0.58,0.658,0.342,1.0,0.0,0.698,0.302,16-17
203952,0.816,0.184,0.627,0.231,0.16,0.113,0.213,0.141,0.396,0.414,0.586,0.757,0.243,0.464,0.536,16-17
203461,0.478,0.522,0.435,0.0,0.339,0.035,0.226,0.07,0.435,0.44,0.56,0.923,0.077,0.605,0.395,16-17
1626148,0.46,0.54,0.512,0.233,0.488,0.186,0.0,0.163,0.279,0.545,0.455,0.571,0.429,0.556,0.444,16-17
203076,0.912,0.088,0.696,0.233,0.057,0.08,0.247,0.123,0.462,0.644,0.356,1.0,0.0,0.662,0.338,16-17
201627,0.472,0.528,0.421,0.162,0.454,0.077,0.125,0.1,0.258,0.596,0.404,0.976,0.024,0.755,0.245,16-17
201229,0.345,0.655,0.282,0.043,0.586,0.061,0.132,0.15,0.239,0.646,0.354,1.0,0.0,0.852,0.148,16-17
203462,0.773,0.227,0.564,0.055,0.136,0.2,0.3,0.118,0.509,0.355,0.645,0.8,0.2,0.417,0.583,16-17
202620,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16-17
203382,1.0,0.0,0.784,0.137,0.0,0.055,0.216,0.134,0.647,0.734,0.266,0.0,0.0,0.734,0.266,16-17
201167,0.64,0.36,0.478,0.233,0.361,0.052,0.161,0.12,0.245,0.504,0.496,0.968,0.032,0.659,0.341,16-17
203085,0.591,0.409,0.477,0.045,0.375,0.106,0.148,0.129,0.432,0.208,0.792,0.703,0.297,0.378,0.622,16-17
202340,0.643,0.357,0.562,0.204,0.362,0.107,0.076,0.205,0.358,0.614,0.386,0.815,0.185,0.674,0.326,16-17
1626253,0.556,0.444,0.727,0.545,0.273,0.0,0.0,0.0,0.182,0.75,0.25,1.0,0.0,0.8,0.2,16-17
1627791,0.667,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16-17
203463,0.594,0.406,0.465,0.174,0.394,0.17,0.141,0.152,0.291,0.696,0.304,0.908,0.092,0.772,0.228,16-17
2757,0.838,0.162,0.714,0.344,0.145,0.123,0.141,0.097,0.37,0.136,0.864,0.545,0.455,0.185,0.815,16-17
202687,1.0,0.0,0.741,0.041,0.0,0.077,0.259,0.124,0.7,0.816,0.184,0.0,0.0,0.816,0.184,16-17
201933,0.884,0.116,0.67,0.21,0.087,0.182,0.243,0.15,0.46,0.499,0.501,0.974,0.026,0.537,0.463,16-17
1626246,1.0,0.0,0.754,0.073,0.0,0.047,0.246,0.115,0.681,0.653,0.347,0.0,0.0,0.653,0.347,16-17
201628,0.417,0.583,0.29,0.161,0.677,0.081,0.033,0.113,0.129,0.222,0.778,0.786,0.214,0.565,0.435,16-17
1626171,0.744,0.256,0.691,0.238,0.22,0.135,0.089,0.215,0.453,0.642,0.358,1.0,0.0,0.705,0.295,16-17
202711,0.536,0.464,0.417,0.072,0.388,0.154,0.195,0.16,0.345,0.509,0.491,0.924,0.076,0.668,0.332,16-17
2564,0.752,0.248,0.746,0.118,0.178,0.05,0.076,0.08,0.627,0.373,0.627,0.95,0.05,0.452,0.548,16-17
203078,0.582,0.418,0.465,0.152,0.376,0.151,0.159,0.147,0.314,0.486,0.514,0.807,0.193,0.598,0.402,16-17
201148,0.993,0.007,0.878,0.021,0.0,0.127,0.122,0.196,0.857,0.892,0.108,0.0,0.0,0.892,0.108,16-17
101138,0.984,0.016,0.726,0.178,0.01,0.147,0.264,0.192,0.548,0.679,0.321,1.0,0.0,0.682,0.318,16-17
1627742,0.727,0.273,0.597,0.184,0.223,0.108,0.18,0.184,0.414,0.362,0.638,0.982,0.018,0.486,0.514,16-17
201943,0.529,0.471,0.392,0.128,0.411,0.173,0.197,0.189,0.263,0.177,0.823,0.506,0.494,0.313,0.688,16-17
202688,0.735,0.265,0.551,0.192,0.227,0.19,0.222,0.168,0.36,0.171,0.829,0.511,0.489,0.244,0.756,16-17
201575,0.39,0.61,0.264,0.102,0.67,0.142,0.066,0.147,0.162,0.808,0.192,0.977,0.023,0.914,0.086,16-17
203148,0.639,0.361,0.408,0.239,0.359,0.056,0.233,0.077,0.169,0.345,0.655,0.882,0.118,0.543,0.457,16-17
1627362,0.833,0.167,0.774,0.065,0.048,0.177,0.178,0.387,0.71,0.333,0.667,0.0,1.0,0.32,0.68,16-17
1627744,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,16-17
201572,0.67,0.33,0.547,0.071,0.261,0.045,0.192,0.109,0.476,0.504,0.496,0.985,0.015,0.62,0.38,16-17
203998,0.625,0.375,0.571,0.286,0.429,0.0,0.0,0.0,0.286,0.5,0.5,1.0,0.0,0.667,0.333,16-17
1627854,0.465,0.535,0.404,0.34,0.543,0.064,0.053,0.213,0.064,0.474,0.526,0.765,0.235,0.611,0.389,16-17
1627741,0.506,0.494,0.413,0.113,0.513,0.187,0.074,0.165,0.3,0.436,0.564,0.791,0.209,0.596,0.404,16-17
201228,0.577,0.423,0.456,0.228,0.342,0.235,0.202,0.185,0.228,0.484,0.516,0.656,0.344,0.542,0.458,16-17
203912,0.516,0.484,0.476,0.381,0.429,0.238,0.095,0.0,0.095,0.6,0.4,1.0,0.0,0.75,0.25,16-17
203468,0.695,0.305,0.552,0.25,0.302,0.097,0.146,0.123,0.302,0.26,0.74,0.741,0.259,0.389,0.611,16-17
101139,0.368,0.632,0.275,0.086,0.622,0.098,0.103,0.173,0.189,0.571,0.429,0.953,0.047,0.801,0.199,16-17
1626166,0.554,0.446,0.463,0.213,0.506,0.044,0.031,0.119,0.25,0.216,0.784,0.852,0.148,0.484,0.516,16-17
1627747,0.516,0.484,0.479,0.081,0.378,0.207,0.143,0.214,0.397,0.348,0.652,0.746,0.254,0.485,0.515,16-17
2546,0.697,0.303,0.544,0.364,0.273,0.051,0.183,0.119,0.18,0.313,0.687,0.762,0.238,0.425,0.575,16-17
202718,0.581,0.419,0.476,0.105,0.357,0.133,0.167,0.233,0.371,0.66,0.34,0.8,0.2,0.707,0.293,16-17
101112,0.356,0.644,0.299,0.127,0.608,0.04,0.093,0.117,0.172,0.832,0.168,1.0,0.0,0.929,0.071,16-17
1626184,0.52,0.48,0.35,0.0,0.35,0.168,0.3,0.124,0.35,0.292,0.708,0.688,0.313,0.45,0.55,16-17
1627767,1.0,0.0,0.828,0.299,0.0,0.103,0.172,0.264,0.529,0.667,0.333,0.0,0.0,0.667,0.333,16-17
1627778,1.0,0.0,0.714,0.0,0.0,0.0,0.286,0.143,0.714,0.8,0.2,0.0,0.0,0.8,0.2,16-17
