PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
201166,34.8,12.1,3.1,5.29,5.39,0.204,0.1,0.0,0.2,15-16
203932,38.5,19.3,1.2,1.92,1.08,0.243,1.1,0.6,3.9,15-16
1626151,4.3,2.8,0.2,2.59,1.97,0.2,0.0,0.0,0.2,15-16
203940,18.7,8.8,0.6,1.91,0.58,0.136,1.4,0.8,1.4,15-16
201143,63.5,42.1,1.7,1.6,0.57,0.24,4.7,3.8,6.4,15-16
2744,28.5,22.0,1.0,2.16,0.54,0.42,3.2,11.3,4.6,15-16
202329,36.5,23.5,1.3,2.08,1.2,0.281,1.0,0.4,2.0,15-16
101187,15.9,9.7,0.6,2.33,1.15,0.314,0.2,0.3,0.5,15-16
1626210,11.7,6.3,0.3,1.39,0.42,0.248,0.6,1.1,2.9,15-16
202692,48.4,30.1,3.1,3.82,3.27,0.275,1.0,0.0,0.7,15-16
203458,38.2,21.4,1.0,1.58,0.38,0.236,4.1,5.0,6.8,15-16
1627293,11.6,8.0,0.3,1.72,0.58,0.237,1.5,1.4,3.5,15-16
201582,25.2,13.1,0.6,1.4,0.25,0.237,2.5,0.9,3.2,15-16
203459,30.9,23.9,0.9,1.66,0.74,0.333,0.5,0.1,0.6,15-16
202087,21.3,15.0,0.7,1.87,0.91,0.209,0.4,0.1,1.9,15-16
2405,17.9,11.9,0.5,1.79,0.43,0.322,2.4,2.0,3.9,15-16
101161,40.4,24.1,0.9,1.37,0.46,0.182,1.9,1.2,5.6,15-16
2760,17.3,9.9,0.5,1.67,0.55,0.15,2.2,0.6,1.9,15-16
203083,38.6,25.8,1.2,1.82,0.68,0.42,3.5,6.0,12.8,15-16
2738,41.5,25.6,2.0,2.91,1.98,0.169,0.8,0.6,1.8,15-16
1889,27.5,10.3,2.4,5.3,4.93,0.134,0.3,0.5,0.9,15-16
203460,17.0,12.7,0.4,1.47,0.55,0.283,0.5,0.1,2.4,15-16
200745,22.9,12.8,0.6,1.52,0.35,0.288,1.8,0.5,1.3,15-16
101106,36.6,20.0,1.0,1.71,0.46,0.146,1.8,2.5,5.2,15-16
202726,13.8,5.3,0.9,3.95,3.27,0.2,0.0,0.0,0.0,15-16
203094,21.6,12.7,0.7,1.95,0.67,0.324,0.3,3.4,1.5,15-16
203952,46.8,39.3,2.1,2.74,1.81,0.442,2.7,3.9,3.4,15-16
203461,9.2,4.6,0.2,1.28,0.31,0.161,0.2,0.1,0.5,15-16
1626148,21.2,16.6,0.7,2.01,0.91,0.187,0.3,0.1,0.3,15-16
203076,68.3,44.0,2.1,1.86,0.73,0.356,6.3,7.0,7.3,15-16
201627,12.5,10.9,0.3,1.68,0.84,0.447,0.3,0.0,0.2,15-16
201229,29.7,15.2,0.7,1.34,0.29,0.179,1.6,0.0,0.9,15-16
203462,41.1,18.4,3.0,4.34,3.82,0.216,0.5,0.1,1.1,15-16
203382,17.1,13.0,0.4,1.53,0.36,0.371,3.8,1.4,5.5,15-16
201167,52.7,38.7,2.2,2.52,1.57,0.243,2.0,3.3,1.3,15-16
203085,37.9,17.0,2.7,4.29,3.95,0.233,0.4,0.1,0.8,15-16
202340,38.6,29.9,1.3,1.98,1.63,0.392,1.4,0.0,1.5,15-16
1626253,14.2,9.0,0.4,1.79,0.81,0.255,0.3,0.0,1.0,15-16
203463,24.4,15.8,0.8,1.85,1.19,0.317,0.7,0.0,1.1,15-16
2757,40.7,16.1,3.2,4.75,4.74,0.115,0.4,0.0,0.3,15-16
202687,28.1,13.2,0.7,1.55,0.27,0.195,1.6,0.3,5.2,15-16
201933,84.2,52.3,3.3,2.36,1.3,0.254,7.3,6.9,5.6,15-16
1626246,13.4,8.9,0.4,1.7,0.37,0.41,1.0,2.6,4.0,15-16
1626171,32.1,18.2,1.0,1.81,0.66,0.219,1.2,2.3,3.3,15-16
202711,31.9,25.9,1.2,2.33,1.42,0.352,1.2,1.0,1.2,15-16
2564,36.8,23.6,1.3,2.07,1.03,0.174,2.0,4.1,2.3,15-16
203078,51.3,37.1,2.6,3.06,2.65,0.339,1.4,0.5,1.5,15-16
201148,23.6,14.4,0.6,1.64,0.39,0.293,4.1,1.4,5.6,15-16
1626183,3.5,1.7,0.1,1.52,0.62,0.238,0.2,0.3,0.5,15-16
101138,25.8,16.1,0.8,1.96,0.58,0.278,2.8,2.0,4.3,15-16
201943,45.2,13.5,4.1,5.39,5.69,0.153,0.3,0.0,0.4,15-16
202688,82.9,35.8,6.0,4.37,4.45,0.236,0.9,0.3,0.9,15-16
201575,18.5,12.9,0.6,1.83,1.09,0.228,0.2,0.1,0.5,15-16
203148,19.5,7.4,1.8,5.49,5.39,0.206,0.1,0.0,0.2,15-16
1627362,57.3,20.7,4.4,4.58,4.46,0.077,1.1,0.0,0.7,15-16
201572,52.2,36.6,1.7,2.0,0.73,0.394,7.3,10.7,8.6,15-16
203998,10.0,7.0,0.3,1.83,1.04,0.05,0.0,0.0,0.2,15-16
203955,9.0,2.8,0.6,4.07,4.49,0.111,0.0,0.0,0.1,15-16
1626214,20.9,13.9,0.9,2.56,2.17,0.27,0.3,0.0,0.9,15-16
201228,36.7,15.2,2.6,4.26,4.14,0.117,0.2,0.0,0.3,15-16
203912,9.3,6.3,0.4,2.45,1.97,0.327,0.1,0.0,0.1,15-16
203468,69.5,34.8,5.3,4.55,4.33,0.3,0.5,0.1,0.7,15-16
101139,32.0,21.5,1.0,1.79,0.97,0.368,1.0,0.1,0.7,15-16
203946,11.1,6.3,0.3,1.47,0.47,0.171,0.8,0.5,0.6,15-16
1626166,26.2,10.0,2.4,5.47,5.14,0.19,0.1,0.0,0.2,15-16
201171,28.2,18.0,0.8,1.74,0.55,0.346,1.8,2.6,3.5,15-16
2546,66.8,46.6,3.6,3.22,1.98,0.327,5.0,8.4,3.2,15-16
2406,16.0,10.3,0.5,1.71,0.64,0.246,0.1,1.0,0.2,15-16
202718,50.7,35.5,2.1,2.51,1.43,0.271,1.2,0.7,1.0,15-16
101112,29.8,16.9,0.7,1.39,0.27,0.206,0.7,0.6,1.1,15-16
101111,18.6,11.4,0.4,1.37,0.51,0.276,0.4,0.5,0.6,15-16
201978,17.5,13.2,0.6,1.98,0.92,0.235,0.5,0.1,1.2,15-16
2365,19.1,9.4,0.5,1.52,0.23,0.203,1.9,0.3,2.7,15-16
2547,64.3,45.0,2.1,1.95,0.63,0.297,6.2,2.9,3.5,15-16
203142,7.5,5.1,0.2,1.6,0.46,0.276,0.0,0.1,0.1,15-16
203187,14.5,11.0,0.5,1.98,1.06,0.203,0.2,0.0,0.4,15-16
