PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
202710,50.7,39.1,2.1,2.48,1.4,0.259,1.1,1.8,3.5,13-14
201149,82.7,45.3,2.5,1.81,0.6,0.152,7.9,2.4,8.8,13-14
201975,43.4,31.8,1.7,2.29,1.84,0.362,0.8,0.0,1.1,13-14
2207,46.1,33.7,2.5,3.21,2.66,0.338,1.1,4.7,1.6,13-14
201202,5.5,2.8,0.2,1.8,0.51,0.156,0.5,0.1,1.0,13-14
200777,16.5,8.9,0.4,1.39,0.31,0.203,1.8,0.7,3.2,13-14
203089,43.8,28.6,1.3,1.75,0.58,0.254,4.1,5.1,7.8,13-14
203098,16.8,12.4,0.6,1.99,1.15,0.183,0.3,0.1,0.6,13-14
101249,29.9,13.9,2.1,4.15,4.14,0.126,0.2,0.0,0.2,13-14
2422,27.2,21.7,1.2,2.56,1.78,0.191,0.5,0.1,0.4,13-14
202322,96.8,31.9,8.6,5.34,5.06,0.199,0.5,0.0,0.8,13-14
202720,23.2,12.9,0.7,1.76,0.52,0.265,1.5,0.8,1.9,13-14
201973,17.8,9.6,0.5,1.54,0.43,0.237,0.5,0.3,1.7,13-14
202685,44.7,21.2,1.3,1.78,0.36,0.254,2.4,4.7,7.8,13-14
202348,48.5,18.1,4.3,5.34,5.17,0.227,0.6,0.2,0.7,13-14
200770,57.9,22.9,4.5,4.65,4.7,0.175,0.5,0.1,0.5,13-14
202706,23.1,15.1,0.9,2.29,1.44,0.291,0.3,0.2,0.8,13-14
201941,34.7,18.1,1.0,1.78,0.45,0.279,2.7,2.4,6.5,13-14
203268,30.5,12.1,2.3,4.58,4.63,0.135,1.3,0.1,1.3,13-14
101181,75.6,28.9,5.3,4.22,4.08,0.151,0.4,0.0,0.3,13-14
2735,6.0,2.5,0.2,2.05,0.87,0.0,0.0,0.0,0.0,13-14
202725,12.5,6.8,0.3,1.48,0.37,0.232,0.8,0.1,1.4,13-14
201177,76.9,41.8,2.0,1.59,0.55,0.11,4.0,0.4,2.1,13-14
2694,20.0,13.0,0.5,1.46,0.2,0.2,1.0,0.0,1.0,13-14
2746,56.2,37.7,2.2,2.31,1.1,0.292,2.4,5.6,2.9,13-14
201950,81.7,27.5,7.1,5.2,5.12,0.175,1.3,0.7,1.4,13-14
202933,11.2,4.3,0.9,4.76,4.79,0.077,0.0,0.0,0.2,13-14
203120,11.8,7.5,0.3,1.71,0.63,0.277,0.9,0.3,1.6,13-14
202695,41.1,28.3,1.7,2.49,1.61,0.311,0.8,1.3,2.7,13-14
2586,10.3,8.2,0.4,2.15,0.79,0.194,0.0,0.0,0.0,13-14
203482,37.0,21.3,0.9,1.52,0.42,0.235,2.3,0.8,4.0,13-14
202689,98.8,36.3,8.1,4.94,4.92,0.179,1.0,0.1,0.8,13-14
203088,75.2,26.8,5.4,4.29,4.08,0.106,0.2,0.1,0.5,13-14
2570,28.7,13.0,0.8,1.77,0.43,0.119,2.0,0.8,2.9,13-14
202702,41.3,22.0,1.2,1.72,0.64,0.331,4.2,3.2,8.9,13-14
203145,22.6,12.4,1.4,3.66,2.97,0.266,0.2,0.0,0.4,13-14
203484,22.6,14.9,0.7,1.81,1.0,0.26,0.5,0.0,1.0,13-14
2030,26.0,16.6,0.8,1.87,0.29,0.165,2.8,0.6,2.7,13-14
201142,68.8,44.7,3.9,3.43,2.42,0.465,3.0,3.7,2.5,13-14
708,42.6,23.0,1.0,1.42,0.26,0.151,3.2,2.1,3.5,13-14
201567,86.5,51.1,2.8,1.92,0.43,0.302,8.0,8.8,8.6,13-14
2755,46.8,36.0,2.0,2.57,1.59,0.408,1.5,1.0,1.5,13-14
202338,16.5,10.3,0.5,1.67,0.58,0.284,1.7,2.7,2.8,13-14
203114,45.8,32.5,1.6,2.11,1.27,0.265,1.9,0.6,1.4,13-14
2550,67.5,28.7,5.7,5.07,5.14,0.135,0.3,0.0,0.4,13-14
202691,38.1,28.4,1.6,2.45,1.72,0.479,1.7,2.4,1.2,13-14
977,73.2,34.0,5.9,4.83,4.03,0.189,2.7,4.8,1.5,13-14
201585,27.9,14.6,0.8,1.66,0.41,0.23,2.9,2.1,6.2,13-14
2743,37.9,21.0,1.0,1.53,0.47,0.221,2.8,1.3,4.1,13-14
2594,45.1,34.8,1.2,1.54,0.58,0.269,0.7,0.1,0.5,13-14
200768,89.7,36.9,7.5,5.0,4.91,0.201,0.6,0.1,1.6,13-14
203124,31.2,18.3,0.9,1.7,0.33,0.2,2.7,1.0,3.1,13-14
202713,34.9,21.5,1.0,1.79,0.82,0.274,1.0,0.3,2.7,13-14
202681,81.0,32.7,6.8,5.02,5.01,0.257,1.2,0.7,1.3,13-14
